n-components,fit-time-random-feature,transform-time-random-feature,training-time-SVC-kernel-linear,prediction-time-SVC-kernel-linear,score-in-test-SVC-kernel-linear,training-time-linear-SVC-dual-false,prediction-time-linear-SVC-dual-false,score-in-test-linear-SVC-dual-false
5,0.00017786026000976562,7.82012939453125e-05,0.002765178680419922,0.0007832050323486328,0.683982683982684,0.0007686614990234375,9.799003601074219e-05,0.7142857142857143
6,0.00014591217041015625,5.078315734863281e-05,0.002986907958984375,0.0007789134979248047,0.6536796536796536,0.0007290840148925781,8.082389831542969e-05,0.7359307359307359
7,0.00012922286987304688,5.793571472167969e-05,0.0027170181274414062,0.0007119178771972656,0.8181818181818182,0.0006699562072753906,7.510185241699219e-05,0.8051948051948052
7,0.00013017654418945312,5.888938903808594e-05,0.0026879310607910156,0.0007176399230957031,0.8181818181818182,0.0008578300476074219,0.0001010894775390625,0.8051948051948052
8,0.00013589859008789062,5.7697296142578125e-05,0.0030219554901123047,0.00078582763671875,0.7489177489177489,0.0008080005645751953,7.510185241699219e-05,0.8051948051948052
9,0.0001430511474609375,6.508827209472656e-05,0.002972126007080078,0.0007739067077636719,0.7835497835497836,0.0006988048553466797,6.914138793945312e-05,0.7878787878787878
10,0.00012087821960449219,6.508827209472656e-05,0.0030319690704345703,0.0007407665252685547,0.8051948051948052,0.0007081031799316406,7.104873657226562e-05,0.7965367965367965
10,0.0001232624053955078,6.389617919921875e-05,0.0028810501098632812,0.0007359981536865234,0.8051948051948052,0.0006999969482421875,7.605552673339844e-05,0.7965367965367965
11,0.0001609325408935547,7.605552673339844e-05,0.003246784210205078,0.0008859634399414062,0.7489177489177489,0.0007989406585693359,9.584426879882812e-05,0.7792207792207793
12,0.00014495849609375,8.702278137207031e-05,0.0030128955841064453,0.0008099079132080078,0.8051948051948052,0.0007669925689697266,7.605552673339844e-05,0.8051948051948052
16,0.0001270771026611328,9.894371032714844e-05,0.0033118724822998047,0.0008161067962646484,0.8095238095238095,0.0008320808410644531,7.605552673339844e-05,0.7965367965367965
19,0.00013709068298339844,9.107589721679688e-05,0.0038170814514160156,0.0010068416595458984,0.8095238095238095,0.0009930133819580078,9.298324584960938e-05,0.7922077922077922
23,0.00012493133544921875,0.00010585784912109375,0.004136800765991211,0.0010941028594970703,0.8008658008658008,0.0011992454528808594,0.000102996826171875,0.8008658008658008
26,0.00012993812561035156,0.00013303756713867188,0.004492044448852539,0.0011830329895019531,0.8095238095238095,0.0013318061828613281,0.0001220703125,0.8051948051948052
30,0.00017499923706054688,0.0001327991485595703,0.0044841766357421875,0.0013430118560791016,0.8095238095238095,0.001486063003540039,0.00011801719665527344,0.7965367965367965
33,0.00013399124145507812,0.00013375282287597656,0.004715919494628906,0.0013518333435058594,0.8095238095238095,0.0015568733215332031,0.00011277198791503906,0.7965367965367965
36,0.00013208389282226562,0.00015115737915039062,0.005204916000366211,0.0014438629150390625,0.8051948051948052,0.0016720294952392578,0.00011992454528808594,0.7965367965367965
40,0.00015091896057128906,0.00015401840209960938,0.005082130432128906,0.001500844955444336,0.8051948051948052,0.0017879009246826172,0.0002918243408203125,0.8008658008658008
43,0.0001652240753173828,0.00017595291137695312,0.005384206771850586,0.0015799999237060547,0.8095238095238095,0.001895904541015625,0.00017118453979492188,0.8008658008658008
47,0.00013899803161621094,0.00017881393432617188,0.0062160491943359375,0.0017189979553222656,0.8138528138528138,0.002195119857788086,0.00015926361083984375,0.7965367965367965
50,0.00019097328186035156,0.0002231597900390625,0.00546574592590332,0.0017037391662597656,0.8051948051948052,0.002398967742919922,0.00032591819763183594,0.8008658008658008
53,0.0001690387725830078,0.000202178955078125,0.005983114242553711,0.0018088817596435547,0.8138528138528138,0.0022459030151367188,0.00016689300537109375,0.8008658008658008
57,0.00015616416931152344,0.00023412704467773438,0.006360054016113281,0.0019519329071044922,0.8095238095238095,0.0025877952575683594,0.0001728534698486328,0.7965367965367965
60,0.00019216537475585938,0.000247955322265625,0.007121086120605469,0.0019867420196533203,0.8095238095238095,0.002836942672729492,0.0002980232238769531,0.8008658008658008
64,0.000141143798828125,0.0006389617919921875,0.006559133529663086,0.002089262008666992,0.8095238095238095,0.0026209354400634766,0.00019407272338867188,0.7965367965367965
67,0.000141143798828125,0.0013501644134521484,0.0070400238037109375,0.0022668838500976562,0.8095238095238095,0.002542734146118164,0.0002491474151611328,0.7965367965367965
70,0.00015592575073242188,0.0012021064758300781,0.0072476863861083984,0.0023620128631591797,0.8095238095238095,0.002750873565673828,0.00023889541625976562,0.7965367965367965
74,0.0001399517059326172,0.0037908554077148438,0.00802302360534668,0.0024068355560302734,0.8051948051948052,0.0032057762145996094,0.00027108192443847656,0.8008658008658008
77,0.00019884109497070312,0.003374814987182617,0.007509946823120117,0.002465963363647461,0.8051948051948052,0.003125905990600586,0.0002779960632324219,0.7965367965367965
81,0.00014710426330566406,0.0003859996795654297,0.008064985275268555,0.0025408267974853516,0.8138528138528138,0.003141164779663086,0.0002789497375488281,0.7965367965367965
5,0.00015163421630859375,5.7220458984375e-05,0.0026378631591796875,0.0008730888366699219,0.7186147186147186,0.0007178783416748047,7.915496826171875e-05,0.7402597402597403
6,0.00013518333435058594,5.1975250244140625e-05,0.006666898727416992,0.0008821487426757812,0.6190476190476191,0.0008308887481689453,7.295608520507812e-05,0.658008658008658
7,0.00018715858459472656,5.5789947509765625e-05,0.0029549598693847656,0.0007832050323486328,0.7402597402597403,0.0007219314575195312,7.915496826171875e-05,0.7445887445887446
7,0.0001671314239501953,5.793571472167969e-05,0.0028929710388183594,0.0007920265197753906,0.7402597402597403,0.0007579326629638672,8.296966552734375e-05,0.7445887445887446
8,0.00015282630920410156,5.91278076171875e-05,0.002794981002807617,0.0007867813110351562,0.7965367965367965,0.0008559226989746094,9.274482727050781e-05,0.8138528138528138
9,0.0001838207244873047,0.00011801719665527344,0.002746105194091797,0.0007598400115966797,0.8138528138528138,0.0008771419525146484,7.700920104980469e-05,0.8008658008658008
10,0.000141143798828125,6.389617919921875e-05,0.002823352813720703,0.0008337497711181641,0.7575757575757576,0.0008158683776855469,7.009506225585938e-05,0.7835497835497836
10,0.0001270771026611328,0.00011181831359863281,0.0028312206268310547,0.000843048095703125,0.7575757575757576,0.0008900165557861328,7.796287536621094e-05,0.7835497835497836
11,0.0001308917999267578,8.702278137207031e-05,0.0030279159545898438,0.0008208751678466797,0.8008658008658008,0.0007822513580322266,7.891654968261719e-05,0.7965367965367965
12,0.000125885009765625,9.417533874511719e-05,0.0029649734497070312,0.0007750988006591797,0.8008658008658008,0.0007159709930419922,7.128715515136719e-05,0.7922077922077922
16,0.00012874603271484375,8.320808410644531e-05,0.003058910369873047,0.0008900165557861328,0.7878787878787878,0.0009610652923583984,0.0001010894775390625,0.8051948051948052
19,0.00014710426330566406,9.298324584960938e-05,0.003736734390258789,0.0010991096496582031,0.8138528138528138,0.0010471343994140625,0.00011396408081054688,0.7922077922077922
23,0.00012874603271484375,0.00011324882507324219,0.0040400028228759766,0.0011529922485351562,0.8095238095238095,0.0013802051544189453,0.00011587142944335938,0.8008658008658008
26,0.00013017654418945312,0.00011491775512695312,0.004857301712036133,0.0012202262878417969,0.8051948051948052,0.0013649463653564453,0.00014019012451171875,0.8051948051948052
30,0.00012993812561035156,0.0001380443572998047,0.0046308040618896484,0.0013439655303955078,0.8095238095238095,0.0016350746154785156,0.00011587142944335938,0.7965367965367965
33,0.00013494491577148438,0.00013375282287597656,0.005038261413574219,0.0014469623565673828,0.8051948051948052,0.0016901493072509766,0.00011610984802246094,0.8008658008658008
36,0.00013589859008789062,0.00013494491577148438,0.004872798919677734,0.0014221668243408203,0.8095238095238095,0.0017540454864501953,0.0001289844512939453,0.7965367965367965
40,0.00013589859008789062,0.00014901161193847656,0.004868984222412109,0.0014729499816894531,0.8051948051948052,0.0019521713256835938,0.00019025802612304688,0.7965367965367965
43,0.00022292137145996094,0.00017309188842773438,0.0054967403411865234,0.0016069412231445312,0.8181818181818182,0.0018720626831054688,0.00015687942504882812,0.7965367965367965
47,0.00014591217041015625,0.0002002716064453125,0.005767107009887695,0.001744985580444336,0.8138528138528138,0.002386808395385742,0.0002167224884033203,0.7965367965367965
50,0.00016498565673828125,0.0001900196075439453,0.005403995513916016,0.001711130142211914,0.8138528138528138,0.0018720626831054688,0.00017786026000976562,0.7965367965367965
53,0.0001437664031982422,0.0002410411834716797,0.005833864212036133,0.001844167709350586,0.8051948051948052,0.0022211074829101562,0.00017690658569335938,0.8008658008658008
57,0.00013685226440429688,0.00020599365234375,0.006373167037963867,0.001984834671020508,0.8095238095238095,0.0025310516357421875,0.0002658367156982422,0.7965367965367965
60,0.00014710426330566406,0.00021505355834960938,0.0066890716552734375,0.0019588470458984375,0.8095238095238095,0.002328157424926758,0.0002079010009765625,0.7965367965367965
