n-components,fit-time-random-feature,transform-time-random-feature,training-time-SVC-kernel-linear,prediction-time-SVC-kernel-linear,score-in-test-SVC-kernel-linear,training-time-linear-SVC-dual-false,prediction-time-linear-SVC-dual-false,score-in-test-linear-SVC-dual-false
321,0.0011360645294189453,0.02354598045349121,0.9211628437042236,3.5143301486968994,0.5295827437182086,0.09250688552856445,0.0025489330291748047,0.7654032967453245
343,0.0010440349578857422,0.027101993560791016,0.9849481582641602,3.828343152999878,0.5559720044364554,0.1125040054321289,0.002780914306640625,0.7631468237273875
365,0.0011217594146728516,0.02846693992614746,1.0439560413360596,4.0565571784973145,0.5451868283168241,0.11494708061218262,0.0029489994049072266,0.7622671817034459
387,0.0011599063873291016,0.03169822692871094,1.1366369724273682,4.390516996383667,0.58274371820859,0.12578678131103516,0.0030930042266845703,0.7617317474280032
409,0.0011818408966064453,0.0328671932220459,1.2038600444793701,4.663139820098877,0.6146785482082074,0.12798810005187988,0.0030562877655029297,0.7634527861704976
431,0.0012810230255126953,0.03469228744506836,1.2832529544830322,4.937550067901611,0.611351206639385,0.12870097160339355,0.0034520626068115234,0.7626113894519447
453,0.001255035400390625,0.03933000564575195,1.3551619052886963,5.1715989112854,0.5653038589513137,0.13782811164855957,0.003461122512817383,0.7665889012123762
476,0.0013020038604736328,0.036882877349853516,1.3852097988128662,5.392452001571655,0.6068765059088996,0.14279413223266602,0.0037860870361328125,0.7659004857153784
498,0.0013971328735351562,0.03758597373962402,1.4658048152923584,5.698407888412476,0.6173557195854209,0.1789560317993164,0.0037059783935546875,0.7634910314758864
520,0.0013942718505859375,0.046643972396850586,1.5455560684204102,5.935276985168457,0.6076796573220637,0.19768714904785156,0.003958940505981445,0.7666653918231537
542,0.0014400482177734375,0.041706085205078125,1.6220097541809082,6.12970495223999,0.5863387769151337,0.19834303855895996,0.004024028778076172,0.7650590889968256
564,0.0014698505401611328,0.04438614845275879,1.7039380073547363,6.404461145401001,0.690289516961793,0.21436095237731934,0.004356861114501953,0.7644089188052167
586,0.001524209976196289,0.04474759101867676,1.7561249732971191,6.662048101425171,0.5941025739090526,0.20627903938293457,0.004386186599731445,0.7646383906375492
608,0.001544952392578125,0.05073690414428711,1.8349599838256836,6.979933738708496,0.6279879144834971,0.22363018989562988,0.004755973815917969,0.7611580678471718
630,0.0016241073608398438,0.047981977462768555,2.054274082183838,7.302754878997803,0.6584311775729529,0.22876906394958496,0.004585981369018555,0.7572188013921292
652,0.001689910888671875,0.060399770736694336,2.142910957336426,7.672776937484741,0.6528091176808046,0.24793601036071777,0.005419015884399414,0.761769992733392
675,0.0017731189727783203,0.05331301689147949,2.2403881549835205,7.869934797286987,0.6044288063640189,0.25431084632873535,0.007625102996826172,0.7547328565418595
697,0.0019431114196777344,0.05903935432434082,2.2118940353393555,8.035794973373413,0.6100126209507782,0.2592289447784424,0.010190010070800781,0.7609285960148392
719,0.0017898082733154297,0.05529379844665527,2.2726073265075684,8.369095802307129,0.6259609132978927,0.25990796089172363,0.005590200424194336,0.7621906910926683
741,0.0018229484558105469,0.057976722717285156,2.3453609943389893,8.581768989562988,0.6349868053696409,0.2782928943634033,0.005376100540161133,0.7596282556316212
763,0.0018696784973144531,0.058631181716918945,2.4333620071411133,8.880728244781494,0.6083298275136727,0.2809629440307617,0.007430076599121094,0.7653650514399357
785,0.0019109249114990234,0.06107592582702637,2.5054028034210205,9.225788831710815,0.6192297395494702,0.3158836364746094,0.006017923355102539,0.7611580678471718
807,0.0019941329956054688,0.06641101837158203,2.621105909347534,9.436414957046509,0.615558190232149,0.3006410598754883,0.009943246841430664,0.7648678624698818
829,0.0020339488983154297,0.06921601295471191,2.756417989730835,9.844385147094727,0.5905457605078976,0.3486170768737793,0.007409334182739258,0.7561861781466325
852,0.0020732879638671875,0.06473112106323242,2.752747058868408,9.894894123077393,0.6014074272383065,0.37973713874816895,0.00864410400390625,0.7676980150686503
874,0.0020821094512939453,0.06621694564819336,2.836238145828247,10.200543880462646,0.6039316173939648,0.32708120346069336,0.008019208908081055,0.7646001453321605
896,0.0021619796752929688,0.06723308563232422,2.934688091278076,10.492738008499146,0.6081386009867289,0.3912992477416992,0.006556034088134766,0.7570275748651853
918,0.0022640228271484375,0.0695030689239502,3.122581958770752,10.92094612121582,0.6024400504838031,0.4200630187988281,0.012145042419433594,0.7612728037633381
940,0.0022416114807128906,0.07251811027526855,3.1428110599517822,11.149007797241211,0.6110069988908862,0.4115450382232666,0.009845972061157227,0.7593222931885111
962,0.0023012161254882812,0.07211971282958984,3.1643497943878174,11.316042184829712,0.6066087887711783,0.4335799217224121,0.009083271026611328,0.7585191417753471
321,0.0010192394256591797,0.02462482452392578,0.9102268218994141,3.4521420001983643,0.5690136535740238,0.09345602989196777,0.0023949146270751953,0.764026465751329
343,0.0010569095611572266,0.024970054626464844,0.981281042098999,3.7676589488983154,0.6290587830343826,0.10457897186279297,0.002880096435546875,0.7632998049489426
365,0.0010991096496582031,0.03231072425842285,1.0322177410125732,3.9823150634765625,0.5882892874899606,0.11098217964172363,0.002928018569946289,0.7679657322063717
387,0.0011363029479980469,0.03345298767089844,1.1138670444488525,4.3115270137786865,0.5691283894901901,0.12376284599304199,0.0031859874725341797,0.7630320878112212
409,0.0011861324310302734,0.03203272819519043,1.1636548042297363,4.5246241092681885,0.5130990170956515,0.12467408180236816,0.0033600330352783203,0.7569510842544078
