n-components,fit-time-mean,fit-time-std,transform-time-mean,transform-time-std,training-time-mean,training-time-std,prediction-time-mean,prediction-time-std,score-mean,score-std
5,0.0009850263595581055,0.0008395096227657047,0.0009850263595581055,0.00020053949443803488,0.0028287172317504883,0.0004515919573129166,0.005993068218231201,0.00036547229406475555,0.7616170115118369,0.0023951456475849835
50,0.001096963882446289,5.7000492412312236e-05,0.001096963882446289,0.0005865886350505254,0.01667964458465576,0.00038947772344299046,0.02295398712158203,0.0046239954035302904,0.7707193941943626,0.005698507722781543
95,0.002176642417907715,8.214814698160342e-05,0.002176642417907715,0.0011155323786076322,0.03242528438568115,0.0020952296490214305,0.036703288555145264,0.0035752170225353663,0.7761597888859143,0.004403735589772344
140,0.005640149116516113,0.0006227229334498487,0.005640149116516113,0.0031695468280556697,0.05823373794555664,0.0069278271215261235,0.05492013692855835,0.0029565174922419916,0.7809882586912457,0.003423684762623948
184,0.024124622344970703,0.01548586495959219,0.024124622344970703,0.005092514386117915,0.07448619604110718,0.0051166627314462405,0.06451553106307983,0.0035448295492284667,0.7835220101732512,0.0011781271661976702
246,0.024770736694335938,0.010334022334905123,0.024770736694335938,0.004493511078650699,0.10025632381439209,0.0067333572335268365,0.0915447473526001,0.004825906362822899,0.7861322522660343,0.0025608176115298116
297,0.0328558087348938,0.006800559041335405,0.0328558087348938,0.004875891541247798,0.12783926725387573,0.011068777076606659,0.10177695751190186,0.0012121389159594437,0.7865911959306995,0.003104394470943566
348,0.04111027717590332,0.016400559070035903,0.04111027717590332,0.002625401511612013,0.16660702228546143,0.01643719749048496,0.1237364411354065,0.0043593657874417616,0.7891249474127051,0.0029613780630642745
399,0.06691724061965942,0.04404284780874172,0.06691724061965942,0.003054467859182277,0.1982715129852295,0.008809425303833687,0.14715266227722168,0.013475348245356926,0.7898133629097028,0.0033614374531757184
451,0.11673939228057861,0.10471508279637827,0.11673939228057861,0.003965007898363986,0.22680950164794922,0.009689530139586792,0.17134255170822144,0.012848583211666037,0.7912571231881287,0.003550158798496771
502,0.08172857761383057,0.008188364976572183,0.08172857761383057,0.005525547676572679,0.24813544750213623,0.004831988090465407,0.18187719583511353,0.009387062500772673,0.7927486900982904,0.003793939435059834
553,0.18278026580810547,0.12480021080755312,0.18278026580810547,0.00982577768824519,0.2826607823371887,0.011206615581480164,0.20772963762283325,0.01359389433898587,0.794326308945577,0.002433991450720174
604,0.162786066532135,0.0357511391901022,0.162786066532135,0.004562705188544675,0.30356770753860474,0.012253961559084814,0.2212192416191101,0.010338625617304798,0.795980418403641,0.002073375326948385
655,0.14309978485107422,0.01920663939682731,0.14309978485107422,0.015146685118610158,0.33427828550338745,0.01661356983744527,0.2507975101470947,0.0068401138241225325,0.7966210272689027,0.0016935877434085718
706,0.17927777767181396,0.02865756447110962,0.17927777767181396,0.0058825606078098305,0.3496885299682617,0.0042317493516669255,0.2802197337150574,0.009150125808881927,0.7971182162389566,0.0016397604996316966
757,0.24342328310012817,0.03841058603265072,0.24342328310012817,0.008401890744572616,0.3836895227432251,0.029944189331014358,0.29304128885269165,0.013078376564304522,0.797883122346732,0.0017566145510859318
809,0.2883797883987427,0.04788994942043455,0.2883797883987427,0.013528116419990096,0.40242427587509155,0.027803930677989357,0.33138835430145264,0.01231924925627145,0.7983516273377442,0.0018648917073177465
860,0.31175553798675537,0.020170389342127802,0.31175553798675537,0.00717900491456384,0.4476192593574524,0.026800033280643693,0.34692299365997314,0.00450799750525332,0.7994798638467129,0.0022511729517596685
911,0.34459131956100464,0.08490072076956304,0.34459131956100464,0.008959232121330134,0.4743635654449463,0.028371083985560954,0.37043946981430054,0.010450081273265546,0.7992217080353387,0.0022068513338935943
962,0.37859654426574707,0.06704804178344177,0.37859654426574707,0.001631833229772303,0.5125234127044678,0.03998269364541676,0.37868577241897583,0.004837343039891814,0.7992599533407274,0.0021549852326964033
