n-components,fit-time-random-feature,transform-time-random-feature,training-time-SVC-kernel-linear,prediction-time-SVC-kernel-linear,score-in-test-SVC-kernel-linear,training-time-linear-SVC-dual-false,prediction-time-linear-SVC-dual-false,score-in-test-linear-SVC-dual-false
5,0.00039505958557128906,0.0018360614776611328,0.19565200805664062,0.673975944519043,0.7601254446016752,0.0018999576568603516,0.003408193588256836,0.7601254446016752
50,0.00044918060302734375,0.005126953125,0.5024969577789307,1.80460786819458,0.7601254446016752,0.00886392593383789,0.026000022888183594,0.7605843882663403
95,0.0005459785461425781,0.010232925415039062,0.8898348808288574,3.315716028213501,0.7601254446016752,0.017691850662231445,0.04675889015197754,0.7600489539908977
140,0.0006089210510253906,0.022723674774169922,1.205732822418213,4.544349908828735,0.7601254446016752,0.02957892417907715,0.05526399612426758,0.7589015948292347
184,0.0007169246673583984,0.014683246612548828,1.5346910953521729,5.942861080169678,0.7601254446016752,0.045670270919799805,0.07097768783569336,0.7629555972004436
246,0.0008649826049804688,0.01986384391784668,2.239567756652832,8.601251125335693,0.7601254446016752,0.06088423728942871,0.09093093872070312,0.7655945232722683
297,0.0009868144989013672,0.023802995681762695,2.811771869659424,10.679338932037354,0.7601254446016752,0.09307217597961426,0.10968279838562012,0.7644854094159942
348,0.0010533332824707031,0.026977062225341797,3.2788920402526855,12.587404012680054,0.7661682028530998,0.11906194686889648,0.13006091117858887,0.764676635942938
399,0.0011620521545410156,0.030562162399291992,3.936828851699829,14.790750980377197,0.7685011664818143,0.12265706062316895,0.14784002304077148,0.7663211840746549
451,0.001264810562133789,0.03523993492126465,4.409281015396118,16.7856867313385,0.7694572991165335,0.13389182090759277,0.16286301612854004,0.7642941828890504
502,0.0013661384582519531,0.03904104232788086,4.891309976577759,18.413766860961914,0.7727081500745784,0.14903593063354492,0.18764710426330566,0.7626496347573335
553,0.0014758110046386719,0.043411970138549805,5.501922845840454,20.639183044433594,0.7745056794278502,0.1966707706451416,0.19680213928222656,0.764676635942938
604,0.0015788078308105469,0.048915863037109375,6.107781171798706,22.2817280292511,0.7774123226373962,0.19087696075439453,0.2186589241027832,0.7649061077752706
655,0.0016787052154541016,0.05082893371582031,6.751330852508545,24.536148071289062,0.7790568707691131,0.24349594116210938,0.23675799369812012,0.7637587486136077
