n-components,fit-time-random-feature,transform-time-random-feature,training-time-SVC-kernel-linear,prediction-time-SVC-kernel-linear,score-in-test-SVC-kernel-linear,training-time-linear-SVC-dual-false,prediction-time-linear-SVC-dual-false,score-in-test-linear-SVC-dual-false
5,0.0053539276123046875,0.0027599334716796875,0.015618085861206055,0.12982606887817383,0.9709837857126926,0.0027761459350585938,0.02061319351196289,0.971965118094431
30,0.0009441375732421875,0.018182754516601562,0.032202959060668945,0.2800910472869873,0.9719874211031068,0.006170988082885742,0.05253314971923828,0.9725226933113277
55,0.0018100738525390625,0.030370235443115234,0.04672980308532715,0.39716076850891113,0.9719874211031068,0.010801076889038086,0.06286501884460449,0.9725672993286795
81,0.0021278858184814453,0.014097213745117188,0.05922102928161621,0.5309329032897949,0.9719874211031068,0.016296863555908203,0.10277390480041504,0.9725672993286795
106,0.004172801971435547,0.013396024703979492,0.07293987274169922,0.6154050827026367,0.9722104511898655,0.0222318172454834,0.1036679744720459,0.9727234203894105
131,0.0047528743743896484,0.02136087417602539,0.08896374702453613,0.774216890335083,0.9722104511898655,0.02696514129638672,0.11846923828125,0.972812632424114
156,0.00828099250793457,0.016133785247802734,0.10254883766174316,0.9090731143951416,0.9722327541985414,0.03477883338928223,0.12811684608459473,0.9727234203894105
182,0.009146928787231445,0.04447007179260254,0.12167000770568848,1.0716838836669922,0.9722327541985414,0.0410308837890625,0.14013123512268066,0.9727234203894105
207,0.013559103012084961,0.03769683837890625,0.14645099639892578,1.271730899810791,0.9723665722505966,0.050909996032714844,0.15965819358825684,0.9727011173807346
232,0.022614002227783203,0.026708126068115234,0.16051197052001953,1.4036469459533691,0.9724111782679483,0.05703997611999512,0.1842513084411621,0.9729464504761692
257,0.017102956771850586,0.02998208999633789,0.1847851276397705,1.6001639366149902,0.9724111782679483,0.057064056396484375,0.17841410636901855,0.9729018444588174
283,0.021613121032714844,0.026488780975341797,0.21023893356323242,1.7927978038787842,0.972478087293976,0.07107782363891602,0.20104122161865234,0.9728795414501417
308,0.06708931922912598,0.03435540199279785,0.22750210762023926,1.9523630142211914,0.9725449963200036,0.06894326210021973,0.23216724395751953,0.9730579655195486
333,0.04149818420410156,0.032553911209106445,0.25133800506591797,2.170560121536255,0.9727011173807346,0.08382225036621094,0.2364342212677002,0.973838570823204
358,0.03286910057067871,0.0415186882019043,0.26897287368774414,2.277902126312256,0.9728795414501417,0.07171368598937988,0.24747681617736816,0.974351540022749
384,0.04787611961364746,0.040015220642089844,0.293349027633667,2.4779558181762695,0.9728349354327899,0.08814477920532227,0.2693440914154053,0.9745968731181837
409,0.0458989143371582,0.04079627990722656,0.31978607177734375,2.751966953277588,0.9729464504761692,0.0814669132232666,0.2871098518371582,0.9744630550661284
434,0.04881405830383301,0.04519391059875488,0.3356020450592041,2.900851011276245,0.9729464504761692,0.09597587585449219,0.3150310516357422,0.9744630550661284
459,0.07134008407592773,0.04766702651977539,0.35895323753356934,3.0712890625,0.9730802685282245,0.09122800827026367,0.3230578899383545,0.9743961460401008
484,0.0675048828125,0.05261802673339844,0.3754711151123047,3.202845811843872,0.9730802685282245,0.09633493423461914,0.3348679542541504,0.9743961460401008
510,0.07525372505187988,0.05233311653137207,0.3994119167327881,3.4347801208496094,0.9731471775542521,0.11573100090026855,0.3908259868621826,0.9744407520574525
535,0.0848381519317627,0.05523991584777832,0.4270927906036377,3.734262704849243,0.9732363895889555,0.10747790336608887,0.43851590156555176,0.9744407520574525
560,0.11075305938720703,0.05776214599609375,0.445112943649292,3.8733699321746826,0.9732363895889555,0.11331892013549805,0.3840160369873047,0.9744407520574525
