n-components,fit-time-mean,fit-time-std,transform-time-mean,transform-time-std,training-time-mean,training-time-std,prediction-time-mean,prediction-time-std,score-mean,score-std
5,0.0006883825574602399,0.00013282594934594587,0.0006883825574602399,0.00017566292569218178,0.0024848665509905133,0.0002806161258871162,0.010287421090262277,0.0005490911154976728,0.9714425904625962,0.0009947456192589052
30,0.0006587505340576172,2.8848976469666622e-05,0.0006587505340576172,0.000534046076265509,0.006882224764142718,0.0005622578973659924,0.04816692216055734,0.009725164985687092,0.975763001857522,0.0013350615448682
55,0.0007855892181396484,8.862203848893892e-06,0.0007855892181396484,0.00415526157599283,0.010895626885550362,0.0009100351055164331,0.05688088280814035,0.014478053445484218,0.978264124973316,0.0005880917763546703
81,0.0009298324584960938,5.4646245675560257e-05,0.0009298324584960938,0.00731054713669101,0.01688241958618164,0.0012020602287345326,0.06128232819693429,0.011303130721211906,0.9783628954403092,0.001286146305966503
106,0.00104764529636928,3.8406223408550846e-05,0.00104764529636928,0.008545542874799632,0.021970442363194058,0.0015964639188355211,0.08566890444074358,0.019170467625406303,0.9792327127786681,0.0007758571632423729
131,0.0011525154113769531,8.044051123027887e-06,0.0011525154113769531,0.006615123464512764,0.028772592544555664,0.0021681863666707306,0.09459338869367327,0.023494641261746607,0.9797807295632752,0.0009731762339421378
156,0.0012746538434709822,1.720236684094447e-05,0.0012746538434709822,0.0027934840690459362,0.034567253930228095,0.002270824557486591,0.10048290661403111,0.005568409383492219,0.9797329374018269,0.0008306899506908328
182,0.0014222690037318639,3.799513987567601e-05,0.0014222690037318639,0.007316254537827877,0.04104266847882952,0.001517251435208134,0.11352324485778809,0.02196165698756913,0.9810424426255102,0.000878259141668546
207,0.0015190669468470982,1.1880214737197187e-05,0.0015190669468470982,0.00810064024866432,0.04670071601867676,0.002696481894101704,0.12477425166538783,0.013604556366742867,0.9811539576688896,0.000643574818649193
232,0.001653773444039481,2.521301636253054e-05,0.001653773444039481,0.0031707972372812913,0.05258328574044364,0.0021438202666339153,0.12985168184552873,0.01188367943204207,0.9812081221185309,0.0006716696054622737
257,0.0018004689897809709,6.042248629040493e-05,0.0018004689897809709,0.010670434815288444,0.05844027655465262,0.0042796042984017246,0.1440261091504778,0.011982040646340118,0.9817274636062691,0.0006000731156851486
283,0.0019214834485735213,2.6680063210732335e-05,0.0019214834485735213,0.0011963904199068537,0.06388708523341588,0.005253452050229754,0.16531688826424734,0.0195866632496108,0.981641437715662,0.0005146518638211654
308,0.002056189945765904,7.88301524001428e-05,0.002056189945765904,0.0033511984345455863,0.07147673198154994,0.0052528865613838726,0.16774804251534597,0.015128359359874253,0.9817306497503656,0.000876882580248821
333,0.002196788787841797,2.1953936970866794e-05,0.002196788787841797,0.0039495875066759,0.07554422106061663,0.004040552411858627,0.17253729275294713,0.01099008156184763,0.9815171780958966,0.000449709312747778
358,0.0023029191153390066,3.205863505045255e-05,0.0023029191153390066,0.01333190035312962,0.08153929029192243,0.006190954447055915,0.18795030457632883,0.010393371313155828,0.9816063901306,0.0006637052477223087
384,0.0024150099073137555,4.589577552738092e-05,0.0024150099073137555,0.0005065028783821343,0.08641913958958217,0.007347031089474966,0.2133035319192069,0.009965742533834109,0.9816828575889173,0.0004191767831344652
409,0.002538102013724191,9.229702878053056e-05,0.002538102013724191,0.0007503005771229951,0.09110277039664132,0.006778923504227256,0.2156547818865095,0.01423125954814362,0.9820683810246003,0.0009310448783789331
434,0.0026879991803850445,4.6472405734288315e-05,0.0026879991803850445,0.009370800788302025,0.10009752001081194,0.006251574688379596,0.2542782851627895,0.02289639281819794,0.9814661997903517,0.0003335524124298706
459,0.0028134754725864957,2.4710509880885315e-05,0.0028134754725864957,0.0010235808664258597,0.10487243107386998,0.006710742384502207,0.24838498660496303,0.010189336493207827,0.9818517232260346,0.0007605635845938899
484,0.0029194695608956473,3.122022139086593e-05,0.0029194695608956473,0.002076668249039643,0.11296500478472028,0.006676092079081764,0.259997946875436,0.014962466235028948,0.9815171780958966,0.000819435958975204
510,0.0030798230852399555,2.9132537231513112e-05,0.0030798230852399555,0.003128597773247677,0.11342188290187291,0.007769795257239852,0.2768927642277309,0.026061313587837236,0.9818071172086829,0.0005659450578355049
535,0.003227506365094866,9.066412377285493e-05,0.003227506365094866,0.0045386539641528905,0.12356036049979073,0.009224268421583942,0.28540945053100586,0.026867990523798672,0.9817497666149448,0.0004713124587912709
560,0.003305401120867048,4.9141886202756675e-05,0.003305401120867048,0.0016850403940371398,0.1265552384512765,0.01151098554028084,0.28802970477512907,0.03041641844470156,0.9817242774621725,0.0006432987208149267
585,0.003500291279384068,0.00013627922798062272,0.003500291279384068,0.0021923369882401195,0.1330099105834961,0.010610955319464495,0.3032597814287458,0.03290063015904261,0.9821958267884624,0.0007044261251584028
611,0.0036786283765520367,9.128170268153428e-05,0.0036786283765520367,0.004290701742162269,0.13898280688694545,0.009691241919094906,0.30380971091134207,0.025023980306501083,0.9822531773822003,0.0006639550225616315
636,0.00385005133492606,0.00016212268869584916,0.00385005133492606,0.002772441640928543,0.1586085387638637,0.005756781957199931,0.3174798148018973,0.030853996605646004,0.9822659219585865,0.0006237441637949687
661,0.0038995061601911274,0.0001727563055645518,0.0038995061601911274,0.003013356575247585,0.15181919506617955,0.00870831730549249,0.35263681411743164,0.028665648762250872,0.9823200864082279,0.000434138683544239
686,0.004039968763078962,0.0001505441332756327,0.004039968763078962,0.0020739508156405436,0.1591097286769322,0.012135630698500866,0.35220326696123394,0.028054661871388175,0.9825367442067935,0.0003290481221064627
712,0.0041675567626953125,0.0001582644485324381,0.0041675567626953125,0.011267494277006034,0.1691643169948033,0.00934589327715579,0.3783543791089739,0.035497149053374095,0.9819759828458002,0.0006578982528597812
737,0.004228149141584124,6.324063912462346e-05,0.004228149141584124,0.0034458050547660855,0.1763957909175328,0.01307578913589806,0.39385553768702913,0.03879389039836199,0.9822722942467796,0.00039467053848264965
