n-components,fit-time-random-feature,transform-time-random-feature,training-time-SVC-kernel-linear,prediction-time-SVC-kernel-linear,score-in-test-SVC-kernel-linear,training-time-linear-SVC-dual-false,prediction-time-linear-SVC-dual-false,score-in-test-linear-SVC-dual-false
5,0.0007801055908203125,0.0017726421356201172,0.016673803329467773,0.13582801818847656,0.9702031804090372,0.003014087677001953,0.009516000747680664,0.9708053616432857
30,0.0006520748138427734,0.0036668777465820312,0.03627800941467285,0.27918004989624023,0.9718313000423757,0.006390094757080078,0.057090044021606445,0.9746637821442112
55,0.0007910728454589844,0.009733915328979492,0.04791593551635742,0.39905309677124023,0.9762695987688739,0.010762929916381836,0.08660507202148438,0.9791243838793853
81,0.0008809566497802734,0.005647897720336914,0.06273674964904785,0.568619966506958,0.9753774784218391,0.018123865127563477,0.08287405967712402,0.9780761424716194
106,0.0010612010955810547,0.022145986557006836,0.07876181602478027,0.6719233989715576,0.9758012355866806,0.022558212280273438,0.10006928443908691,0.9790574748533577
131,0.0011570453643798828,0.01754307746887207,0.09477400779724121,0.7829909324645996,0.9761803867341704,0.024354934692382812,0.10248613357543945,0.9817115328857863
156,0.001264333724975586,0.01742720603942871,0.1056060791015625,0.8770842552185059,0.9759796596560876,0.03416275978088379,0.10576105117797852,0.9799495952003925
182,0.0014569759368896484,0.02296900749206543,0.12659811973571777,1.0496580600738525,0.9763811138122532,0.038362741470336914,0.1183938980102539,0.9815554118250552
207,0.0015110969543457031,0.032446861267089844,0.15166378021240234,1.2182378768920898,0.9777862033588332,0.04823899269104004,0.13106298446655273,0.9810201396168343
232,0.0016398429870605469,0.01369023323059082,0.1603529453277588,1.340533971786499,0.976425719829605,0.05410027503967285,0.15118193626403809,0.9805517764346411
257,0.0017809867858886719,0.015755653381347656,0.1948859691619873,1.5566778182983398,0.9767156589423913,0.062341928482055664,0.1530449390411377,0.9819791689898968
283,0.0019359588623046875,0.018704891204833984,0.20634007453918457,1.7408909797668457,0.9768494769944466,0.05611371994018555,0.1795330047607422,0.9818230479291656
308,0.002010822296142578,0.01817011833190918,0.22780227661132812,1.8702068328857422,0.9763142047862257,0.07679319381713867,0.19726991653442383,0.9798380801570132
333,0.0022249221801757812,0.018691062927246094,0.2561311721801758,2.0914621353149414,0.9775408702633985,0.07708001136779785,0.18598389625549316,0.9813323817382965
358,0.002299070358276367,0.022305011749267578,0.2775390148162842,2.252150058746338,0.9767825679684189,0.08211302757263184,0.20397114753723145,0.9812208666949171
384,0.002429962158203125,0.023272991180419922,0.28816699981689453,2.422106981277466,0.977117113098557,0.0816500186920166,0.21841883659362793,0.9821798960679796
409,0.0025358200073242188,0.02610468864440918,0.32006311416625977,2.6100029945373535,0.9764703258469567,0.09289288520812988,0.24254584312438965,0.981421593773
434,0.0026040077209472656,0.027372121810913086,0.3397529125213623,2.774293899536133,0.9764926288556326,0.1065208911895752,0.24542903900146484,0.9818230479291656
459,0.002782106399536133,0.029088735580444336,0.3575630187988281,3.029052972793579,0.9772955371679639,0.09877586364746094,0.26078081130981445,0.9818230479291656
484,0.0029480457305908203,0.028962135314941406,0.3852829933166504,3.2040960788726807,0.9769832950465017,0.1161189079284668,0.2652161121368408,0.9815108058077034
510,0.0030417442321777344,0.03417396545410156,0.3941500186920166,3.291516065597534,0.9774070522113433,0.12488722801208496,0.3080589771270752,0.9821352900506278
535,0.0032138824462890625,0.032122135162353516,0.4231138229370117,3.5571129322052,0.9769609920378259,0.13014721870422363,0.30982494354248047,0.9821575930593037
