n-component,n-rows,n-features,scaler-average-time,scaler-std-time,RFF-fit-average-time,RFF-fit-std-time,Nystroem-fit-average-time,Nystroem-fit-std-time,RFF-transform-average-time,RFF-transform-std-time,Nystroem-transform-average-time,Nystroem-transform-std-time,RFF-ridge-training-average-time,RFF-ridge-training-std-time,RFF-ridge-n_iterations_in_training_mean,RFF-ridge-n_iterations_in_training_std,RFF-ridge-predict-average-time,RFF-ridge-predict-std-time,RFF-ridge-score-average-time,RFF-ridge-score-std-time,RFF-ridge-score-in-test,method,Nystroem-ridge-training-average-time,Nystroem-ridge-training-std-time,Nystroem-ridge-n_iterations_in_training_mean,Nystroem-ridge-n_iterations_in_training_std,Nystroem-ridge-predict-average-time,Nystroem-ridge-predict-std-time,Nystroem-ridge-score-average-time,Nystroem-ridge-score-std-time,Nystroem-ridge-score-in-test,RFF-svc-training-average-time,RFF-svc-training-std-time,RFF-svc-n_iterations_in_training_mean,RFF-svc-n_iterations_in_training_std,RFF-svc-predict-average-time,RFF-svc-predict-std-time,RFF-svc-score-average-time,RFF-svc-score-std-time,RFF-svc-score-in-test,Nystroem-svc-training-average-time,Nystroem-svc-training-std-time,Nystroem-svc-n_iterations_in_training_mean,Nystroem-svc-n_iterations_in_training_std,Nystroem-svc-predict-average-time,Nystroem-svc-predict-std-time,Nystroem-svc-score-average-time,Nystroem-svc-score-std-time,Nystroem-svc-score-in-test,RFF-linear-svc-training-average-time,RFF-linear-svc-training-std-time,RFF-linear-svc-n_iterations_in_training_mean,RFF-linear-svc-n_iterations_in_training_std,RFF-linear-svc-predict-average-time,RFF-linear-svc-predict-std-time,RFF-linear-svc-score-average-time,RFF-linear-svc-score-std-time,RFF-linear-svc-score-in-test,Nystroem-linear-svc-training-average-time,Nystroem-linear-svc-training-std-time,Nystroem-linear-svc-n_iterations_in_training_mean,Nystroem-linear-svc-n_iterations_in_training_std,Nystroem-linear-svc-predict-average-time,Nystroem-linear-svc-predict-std-time,Nystroem-linear-svc-score-average-time,Nystroem-linear-svc-score-std-time,Nystroem-linear-svc-score-in-test,random-state
49,4912,300,0.002037668228149414,0.0003525625409846146,0.0006877899169921875,3.4831722310839415e-05,0.002629804611206055,0.0012211697145849082,0.01834864616394043,0.012062601924851628,0.023028993606567384,0.009459023131124662,0.0032724380493164063,0.0003142958559569794,,,0.00020956993103027344,7.400583360275629e-06,0.00430002212524414,0.00040126769785656655,0.9708945736779891,Nystroem-linear-svc,0.00528101921081543,0.0032812475655537624,,,0.00028119087219238283,0.00027487928256415573,0.0062218189239501955,0.0026630586732158245,0.9704708165131476,0.03372392654418945,0.0009538621061924544,,,0.029486989974975585,0.00017014390730603216,0.2830513954162598,0.008384987586118045,0.9702031804090372,0.032534217834472655,0.00039533893438875925,,,0.028841018676757812,5.1286601768358264e-05,0.269545316696167,0.0034674583121261497,0.9702031804090372,0.006442832946777344,0.00028009791740214724,243.0,0.0,0.00015921592712402343,4.908540027867737e-05,0.0036562442779541015,5.392072181377273e-05,0.9702031804090372,0.01765756607055664,0.00012902943889567034,302.0,0.0,0.0001235485076904297,1.3378448077674265e-05,0.0036668300628662108,0.00013545809849062557,0.9702031804090372,123
98,4912,300,0.002336406707763672,0.0003207148467897942,0.0009152412414550782,3.263261491074105e-05,0.0023283958435058594,8.568818129853482e-05,0.014060401916503906,0.007051037944601181,0.01512455940246582,0.002749069419538157,0.004913043975830078,0.00012178375745164897,,,0.0002197742462158203,1.872944490565106e-05,0.004290485382080078,9.403710541560166e-05,0.9705600285478511,Nystroem-linear-svc,0.004687070846557617,8.446733179178651e-05,,,0.00018019676208496093,1.8638935673787822e-05,0.004395484924316406,4.0389261375611566e-05,0.9704708165131476,0.057463979721069335,0.0008683423394878747,,,0.05682902336120606,0.0032612114446420445,0.48353123664855957,0.004184101501641162,0.9702031804090372,0.05532569885253906,0.0001248807522603562,,,0.05298480987548828,6.128345402438772e-05,0.4940284252166748,0.0011520960261374976,0.9702031804090372,0.01626696586608887,0.00020170969869918694,290.0,0.0,0.00033240318298339845,0.00014937303580889644,0.004524850845336914,6.010810890236537e-05,0.9702031804090372,0.037877559661865234,0.0003481656233223045,311.0,0.0,0.00025691986083984373,0.00010577936742840316,0.004578447341918946,5.146821558358297e-05,0.9702031804090372,123
196,4912,300,0.002275705337524414,0.0003377490556213569,0.0014307975769042968,9.188050095460073e-05,0.0506248950958252,0.008120937343133947,0.029476165771484375,0.01263855510084671,0.04598188400268555,0.010766560785224115,0.010453224182128906,0.0030778700789425052,,,0.0003558158874511719,2.4920501681948258e-05,0.00583958625793457,0.00011723165422211271,0.9718982090684033,Nystroem-linear-svc,0.011236333847045898,0.00291387956213833,,,0.0005174160003662109,0.00022870714007694798,0.006397438049316406,0.0008175450498748886,0.9704708165131476,0.105828857421875,0.0019539858005676635,,,0.10254158973693847,6.28210561378506e-05,0.9400909900665283,0.004694769167174955,0.9702031804090372,0.1034665584564209,0.00034995626109268296,,,0.10191140174865723,4.263514866112908e-05,0.9383838176727295,0.003657049780003777,0.9702031804090372,0.03832879066467285,0.0004752374757455589,292.0,0.0,0.0003661632537841797,1.840724223786981e-05,0.006032562255859375,0.00023594584875333464,0.9702031804090372,0.0768812656402588,0.0018484241679571204,330.0,0.0,0.00045337677001953123,0.00010701377487084976,0.005807209014892578,0.00016035412227059835,0.9702031804090372,123
245,4912,300,0.0035950183868408204,0.0030071867917415337,0.0017126083374023437,0.00014177101272224872,0.10996198654174805,0.0715677037393914,0.023676967620849608,0.0032845269019611645,0.03997173309326172,0.005487175536244515,0.012494659423828125,0.0019505615301765476,,,0.0006092071533203125,0.0001903092135023462,0.0068511962890625,0.000565275618826363,0.9704708165131476,Nystroem-linear-svc,0.014046812057495117,0.0016567661052304561,,,0.0005283832550048828,9.250877441252105e-05,0.006590461730957032,0.00022926178579017072,0.9704708165131476,0.1427608013153076,0.001631007292389662,,,0.13941779136657714,0.000570938169225025,1.258490753173828,0.0027878498975188923,0.9702031804090372,0.13914618492126465,0.00020642317203287445,,,0.13700032234191895,0.00014640240343911904,1.2637301921844482,0.005953473064405686,0.9702031804090372,0.05643119812011719,0.0004773234510294975,332.0,0.0,0.0005832672119140625,0.00018330742333258143,0.006485605239868164,0.0003086859860656621,0.9702031804090372,0.09588136672973632,0.001587739354319122,321.0,0.0,0.0005643844604492187,0.00020607610273239068,0.006702804565429687,0.0005428894338936056,0.9702031804090372,123
343,4912,300,0.002084827423095703,0.0004490454471947658,0.002169036865234375,0.0001277084395309895,0.1425504207611084,0.026148146957731117,0.03591938018798828,0.012246118082436124,0.06409258842468261,0.009642724823338432,0.019917631149291994,0.0017096410773765832,,,0.0008581638336181641,0.00032916258473343667,0.008045148849487305,0.00037112727223850676,0.9704708165131476,Nystroem-linear-svc,0.019428062438964843,0.002194800922902647,,,0.0007366180419921875,0.00015707230595417927,0.008113384246826172,0.00040529822579977103,0.9704708165131476,0.21287813186645507,0.002699113929252229,,,0.2072981357574463,0.00013843074232041544,1.9102086067199706,0.00685705705238434,0.9702031804090372,0.21138229370117187,0.00015110252164121302,,,0.20725598335266113,3.978040963453861e-05,1.8931801319122314,0.013570121462091845,0.9702031804090372,0.07893333435058594,0.0003212664742093454,397.0,0.0,0.0006222248077392579,0.0002455060488358806,0.008056640625,0.0004822115519874501,0.9702031804090372,0.14722237586975098,0.0028628499366773986,349.0,0.0,0.0009747505187988281,0.0008432465679445332,0.007770538330078125,0.00015626314535621775,0.9702031804090372,123
442,4912,300,0.002017974853515625,0.0003344419539621478,0.0026540279388427733,0.0001528491265020572,0.2868896484375,0.03773729625989348,0.03556880950927734,0.006664028998870092,0.06932640075683594,0.013826424800340804,0.05378365516662598,0.029460376380152163,,,0.0007531642913818359,0.0002257484039856095,0.009093618392944336,0.000343120228783241,0.9705377255391753,Nystroem-linear-svc,0.06381096839904785,0.016312927770636514,,,0.0007800102233886719,0.00019965321857097224,0.008992481231689452,0.00041621999499483534,0.9704708165131476,0.27729368209838867,0.0031960622309585214,,,0.27056403160095216,2.0979751212133297e-05,2.485133647918701,0.0016090686469644097,0.9702031804090372,0.27517046928405764,0.0015771962120818969,,,0.26554040908813475,0.0025198128546309166,2.412121820449829,0.011203997988217418,0.9702031804090372,0.13124756813049315,0.0004991478554377328,352.0,0.0,0.0007587909698486328,2.9385803186916513e-05,0.009068632125854492,0.0005388731587701787,0.9702031804090372,0.19320321083068848,0.003532306983636557,386.0,0.0,0.0008148193359375,0.00011118675423417471,0.009420299530029297,0.0006857991300417212,0.9702031804090372,123
491,4912,300,0.0018767833709716797,4.3971716358640426e-05,0.0028717517852783203,0.00012081624780583949,0.35536017417907717,0.03146304053561611,0.03309698104858398,0.004374703573899505,0.07621297836303711,0.007093593633771288,0.07598643302917481,0.021846589432952226,,,0.0009490489959716797,0.00012996509254671823,0.009690809249877929,0.00028815286632559873,0.9704931195218235,Nystroem-linear-svc,0.08581714630126953,0.042611387395736916,,,0.000836181640625,4.567704253288373e-05,0.009340572357177734,0.0003532400125419589,0.9704708165131476,0.3148897647857666,0.0028983797418807786,,,0.3067447662353516,5.954892415046269e-05,2.8105045318603517,0.0013521039089019731,0.9702031804090372,0.30960373878479003,0.003109647359441697,,,0.2987202167510986,0.0008106406925214693,2.790962839126587,0.007589183876482544,0.9702031804090372,0.12838306427001953,0.0009361000316395147,248.0,0.0,0.0008162021636962891,0.00016048763731087674,0.009236860275268554,0.00038225188386645145,0.9702031804090372,0.21326956748962403,0.00794376957851731,357.0,0.0,0.001153564453125,0.0005339211902750876,0.009512567520141601,0.0005071481675430437,0.9702031804090372,123
589,4912,300,0.0018963336944580079,2.410941202611471e-05,0.0036293983459472655,0.0001846921953266447,0.5448625564575196,0.10658411325592168,0.04441413879394531,0.008162290089542093,0.09429230690002441,0.02140168460913654,0.07531428337097168,0.031361748093946,,,0.0009014129638671875,0.00013858872308944258,0.010599613189697266,0.0003274770531631825,0.9705154225304994,Nystroem-linear-svc,0.0845703125,0.04169566920015597,,,0.0012915611267089843,0.0003073265147048354,0.011237287521362304,0.0004682927093875586,0.9704708165131476,0.38379788398742676,0.0077589280068679385,,,0.369686222076416,0.0024414649028270527,3.386679267883301,0.019106792740504586,0.9702031804090372,0.37348198890686035,0.0006286745989195992,,,0.3673087120056152,0.00036863292750673594,3.3973278045654296,0.004032245465048503,0.9702031804090372,0.1536844253540039,0.00021732068623133376,299.0,0.0,0.0009558200836181641,3.220460524249401e-05,0.011019563674926758,0.000627179425127137,0.9702031804090372,0.25808258056640626,0.0024622148695314355,341.0,0.0,0.0010078907012939452,0.00013063604264173376,0.011321258544921876,0.0006857195917872303,0.9702031804090372,123
638,4912,300,0.0019376277923583984,0.0001752984661545925,0.0035367965698242187,7.939600009455025e-05,0.5754962921142578,0.06422610016690336,0.0443026065826416,0.0075955712369498146,0.11887683868408203,0.01705142326767008,0.1489259719848633,0.028142191926288748,,,0.001144552230834961,0.0001785925130050711,0.011859512329101563,0.001500586806783681,0.9704708165131476,Nystroem-linear-svc,0.11466736793518066,0.03736458213338435,,,0.0011866092681884766,0.00012534186474086036,0.011216974258422852,0.0005834364378528906,0.9704708165131476,0.4190380096435547,0.0016043921498576678,,,0.4019309997558594,0.0012968494900193984,3.6745784282684326,0.007466150519403551,0.9702031804090372,0.41183838844299314,0.0027780898053636157,,,0.40172653198242186,0.0008146962469556202,3.7035360813140867,0.038301210753852136,0.9702031804090372,0.18045482635498047,0.001969007391955338,317.0,0.0,0.0012056350708007813,0.00022105307424360177,0.012059497833251952,0.0007501392742878507,0.9702031804090372,0.26177277565002444,0.0030414903229862224,321.0,0.0,0.0010284423828125,9.175857362110153e-05,0.011677742004394531,0.0005999957141808741,0.9702031804090372,123
736,4912,300,0.0018901348114013672,5.605118875132676e-06,0.004218578338623047,0.0001357402841514203,1.1174991130828857,1.0191562090220216,0.11759586334228515,0.023610231151115078,0.15856270790100097,0.037452274878100954,0.22818903923034667,0.07831492132722083,,,0.001680278778076172,0.00029777161467438903,0.014332008361816407,0.0007065971209611138,0.9707384526172581,Nystroem-linear-svc,0.3117070198059082,0.11529958870306181,,,0.0017824649810791015,0.0004897566050971835,0.01432337760925293,0.00030574910505164915,0.9704708165131476,0.48718581199645994,0.016872321991299743,,,0.46508350372314455,0.0008168973563723425,4.270002460479736,0.018538144337051143,0.9702031804090372,0.4830657482147217,0.0026359761275872723,,,0.46716723442077634,0.00127669896245527,4.261041641235352,0.005923332182238119,0.9702031804090372,0.21841039657592773,0.031394925935591185,333.0,0.0,0.001424407958984375,0.00020630376319389173,0.01269993782043457,0.0005746164404275498,0.9702031804090372,0.2952287673950195,0.0039007996172199747,327.0,0.0,0.0011874198913574218,6.659492284796972e-05,0.013255500793457031,0.0010478963966273392,0.9702031804090372,123
