percent,n_components,Mean Score in test,Std Score in test,Mean Training Time,Std Training Time,Mean Best Score in CV,Std Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,0.9751767513437563,0.0,0.011442899703979492,0.0,0.9747572272419316,0.0,0.9747572272419316,0.0061462457202415745,0.011175870895385742,0.0007336777267916427
0,50,0.9774516582286951,0.0,0.030373811721801758,0.0,0.9765895995673912,0.0,0.9765895995673912,0.005140600105872482,0.020252752304077148,0.0021473163808727576
1,99,0.9778531123848607,0.0,0.0444338321685791,0.0,0.9772001831543573,0.0,0.9772001831543573,0.005438695645779374,0.029679584503173827,0.0018720479346173882
2,148,0.9762695987688739,0.0,0.07432293891906738,0.0,0.9753686395816455,0.0,0.9753686395816455,0.006598527979559409,0.037055444717407224,0.0033234711120616253
2,197,0.9774293552200192,0.0,0.0826261043548584,0.0,0.9753684323934586,0.0,0.9753684323934586,0.006042315880517226,0.05068879127502442,0.002700843208834633
3,246,0.9764703258469567,0.0,0.09379911422729492,0.0,0.9737405548085271,0.0,0.9737405548085271,0.008317308411075995,0.06184654235839844,0.003793600804881306
4,295,0.9785445056538127,0.0,0.11307287216186523,0.0,0.9751643520293047,0.0,0.9751643520293047,0.004918531177297295,0.08240838050842285,0.008072474845130002
4,344,0.9789459598099783,0.0,0.10874509811401367,0.0,0.9747570200537445,0.0,0.9747570200537445,0.005582028988907165,0.10684475898742676,0.009959406111064257
5,393,0.9787006267145438,0.0,0.14081406593322754,0.0,0.9743505168309324,0.0,0.9743505168309324,0.007053516858160555,0.12606573104858398,0.007576411874162715
6,443,0.9785668086624886,0.0,0.1705489158630371,0.0,0.9743511383954931,0.0,0.9743511383954931,0.008065104300457187,0.14913473129272461,0.012053502121526649
6,492,0.9789682628186542,0.0,0.28295087814331055,0.0,0.9749611004178986,0.0,0.9749611004178986,0.005876081933356036,0.18676328659057617,0.013172598484061307
7,541,0.9784329906104333,0.0,0.20821928977966309,0.0,0.9739433920435593,0.0,0.9739433920435593,0.007942250455782111,0.21812543869018555,0.011099624507807495
8,590,0.9788790507839508,0.0,0.2548551559448242,0.0,0.9735362672561862,0.0,0.9735362672561862,0.006648223395083703,0.24784650802612304,0.02786710985881114
9,639,0.9799718982090684,0.0,0.24611687660217285,0.0,0.9735360600679991,0.0,0.9735360600679991,0.007187355171522265,0.29459547996520996,0.03155835057729706
9,688,0.9788121417579232,0.0,0.2969779968261719,0.0,0.9731291424688131,0.0,0.9731291424688131,0.006940404829894623,0.3404247283935547,0.03724701023229951
10,737,0.9813769877556482,0.0,0.3379530906677246,0.0,0.9733323940802192,0.0,0.9733323940802192,0.007645197512160153,0.3777357578277588,0.009722305449642414
11,786,0.9802841403305306,0.0,0.3735990524291992,0.0,0.9733326012684062,0.0,0.9733326012684062,0.00705323080933048,0.42716550827026367,0.02067871894522326
11,836,0.9799049891830408,0.0,0.4313771724700928,0.0,0.9735360600679991,0.0,0.9735360600679991,0.007741910034867299,0.4847532272338867,0.02587350026391795
12,885,0.9808640185561032,0.0,0.46622323989868164,0.0,0.9735362672561862,0.0,0.9735362672561862,0.006679346723798868,0.5739009380340576,0.021869087962938218
13,934,0.9789905658273301,0.0,0.528378963470459,0.0,0.9735360600679993,0.0,0.9735360600679993,0.006130547291782039,0.64917893409729,0.029803916334404115
13,983,0.9792358989227646,0.0,0.5514979362487793,0.0,0.9731291424688131,0.0,0.9731291424688131,0.006445614160165575,0.708108377456665,0.018529389933044746
