,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,0,1,0.9702031804090372,0.01040196418762207,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.001584893192461114}",0.9725154510590425,0.9725154510590425,0.003093416215833729,0.011337184906005859,0.0006374605106742064
1,0,50,0.979012868836006,0.0345919132232666,"{'fourier_random_features__gamma': 3.2552083333333335e-06, 'svm__C': 100.0}",0.9723146857058798,0.9723146857058798,0.005234476851994279,0.024351739883422853,0.0015641858772106575
2,1,99,0.9797711711309856,0.044014930725097656,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.971905696224824,0.971905696224824,0.005328407956745827,0.03276572227478027,0.0032080361623442184
3,2,148,0.9805517764346411,0.04863405227661133,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9725181445054728,0.9725181445054728,0.005413482500129998,0.047021341323852536,0.0032765162012195932
4,2,197,0.9813546847469724,0.07047700881958008,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9712961485787928,0.9712961485787928,0.006906817612857615,0.05695037841796875,0.004347473304953086
5,3,246,0.9812654727122689,0.07234787940979004,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9721108125299127,0.9721108125299127,0.00604937566861004,0.07408723831176758,0.007336804663242606
6,4,295,0.9816000178424069,0.08855915069580078,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9735350241270645,0.9735350241270645,0.005223820411550038,0.07939772605895996,0.007344262674228571
7,4,344,0.9822245020853313,0.11123919486999512,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9741460220904046,0.9741460220904046,0.005085647162526246,0.0900430679321289,0.007187543846077537
8,5,393,0.9823583201373866,0.1145331859588623,"{'fourier_random_features__gamma': 0.0010995899256440774, 'svm__C': 0.3981071705534969}",0.9710935185319475,0.9710935185319475,0.004828788380693254,0.11186652183532715,0.008875317624629675
9,6,443,0.9830051073889867,0.11698198318481445,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9712969773315404,0.9712969773315404,0.005502687002824494,0.11537761688232422,0.00329885973189326
10,6,492,0.9823360171287107,0.1413743495941162,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9714994001901989,0.9714994001901989,0.005416560139879465,0.12796897888183595,0.005405846451876112
11,7,541,0.9702031804090372,0.06950998306274414,"{'fourier_random_features__gamma': 3.2552083333333335e-06, 'svm__C': 0.0001}",0.9708877806622978,0.9708877806622978,0.0004891889916047848,0.0713005542755127,0.002058729012105224
12,8,590,0.982625956241497,0.16957902908325195,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9737388973030313,0.9737388973030313,0.004783247600148306,0.1503833293914795,0.010605457422778849
13,9,639,0.9829158953542833,0.15899395942687988,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9723146857058798,0.9723146857058798,0.006109588548791074,0.16060242652893067,0.005719011612090539
14,9,688,0.9825144411981176,0.1879289150238037,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.973332186892032,0.973332186892032,0.007228428714476304,0.1747189998626709,0.005181205268491836
15,10,737,0.9813769877556482,0.20317387580871582,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9739429776671853,0.9739429776671853,0.005946630905543034,0.18007402420043944,0.008178552542182839
16,11,786,0.9831166224323661,0.21130776405334473,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9727218104932529,0.9727218104932529,0.00731259792820189,0.19932246208190918,0.009040372509610971
17,11,836,0.9826705622588487,0.2289109230041504,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9729252692928461,0.9729252692928461,0.005875452585975377,0.21784505844116211,0.011565958030077868
18,12,885,0.982625956241497,0.21219182014465332,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9708900597323543,0.9708900597323543,0.005317745421782585,0.2156912326812744,0.012869535192686684
19,13,934,0.9827820773022281,0.2317943572998047,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9717038949307266,0.9717038949307266,0.0055038206649523835,0.2286153793334961,0.010767132150083694
20,13,983,0.9826928652675246,0.27660202980041504,"{'fourier_random_features__gamma': 0.0001578871423448331, 'svm__C': 0.3981071705534969}",0.9731287280924391,0.9731287280924391,0.005910938740786018,0.2429060935974121,0.012030863846924622
