,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,81,0.9607984454360391,0.07159781455993652,"{'regressor__nystroem__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0001}",0.9653285958894958,0.9653285958894958,0.005035405840403808,0.032669353485107425,0.008211076542399665
1,1,81,0.9651021738038077,0.10378694534301758,"{'regressor__nystroem__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0001}",0.9620622273884525,0.9620622273884525,0.005599015598732292,0.03832716941833496,0.0019327616034544857
2,1,81,0.957125631930408,0.11729073524475098,"{'regressor__nystroem__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0001}",0.9593438106008689,0.9593438106008689,0.005401324483981769,0.035805273056030276,0.005971563892627652
3,1,81,0.9612517965239203,0.039026737213134766,"{'regressor__nystroem__gamma': 0.0009207119546699839, 'regressor__ridge_regression__alpha': 0.0001}",0.9550898570848471,0.9550898570848471,0.016165320758350112,0.038280916213989255,0.0009439724406895885
4,2,163,0.9629939962152283,0.12469768524169922,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.966039050667794,0.966039050667794,0.0053202067841679876,0.07697868347167969,0.014166870229483873
5,2,163,0.9684175852763576,0.21498751640319824,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9613604855007953,0.9613604855007953,0.002570319961064194,0.08801231384277344,0.00024522259430657744
6,2,163,0.9681716344154121,0.13594746589660645,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.9595530696457008,0.9595530696457008,0.0020549360352063637,0.08211512565612793,0.014979751586353542
7,2,163,0.9618209928749807,0.1380629539489746,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.9638270062358487,0.9638270062358487,0.0028918798533431964,0.0635718822479248,0.013574070432719625
8,4,327,0.9702176008383114,0.3626236915588379,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.9704366022344514,0.9704366022344514,0.002530041710080335,0.23117728233337403,0.040471901410763185
9,4,327,0.9696113726291645,0.20706462860107422,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.9674967760558364,0.9674967760558364,0.003674744549583315,0.21106271743774413,0.0500027313357571
10,4,327,0.9665682166921871,0.26757216453552246,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.9663601430465834,0.9663601430465834,0.002329413921748695,0.2531153678894043,0.004604397925866323
11,4,327,0.9690444081564283,0.29022860527038574,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9698266596655643,0.9698266596655643,0.0020411827260340444,0.23404316902160643,0.0411592295748695
12,5,409,0.9665389046518826,0.3966994285583496,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9716820879712665,0.9716820879712665,0.0033145447975697667,0.34694547653198243,0.06630634309553539
13,5,409,0.971989137822065,0.2195601463317871,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.9690429449196418,0.9690429449196418,0.003740353726850197,0.3103142738342285,0.07427246870803735
14,5,409,0.9748318570276489,0.4081897735595703,"{'regressor__nystroem__gamma': 0.010416666666666666, 'regressor__ridge_regression__alpha': 0.0001}",0.9665086884244062,0.9665086884244062,0.0026127549645361555,0.35210766792297366,0.06680838479018397
