,percent,n_components,Score in test,Training Time,Best Parameters,Best Score in CV,cv_mean_test_score,cv_std_test_score,cv_mean_fit_time,cv_std_fit_time
0,1,41,0.5661328404413104,0.0198667049407959,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5641657795647645,0.5641657795647645,0.03899162517906833,0.012363195419311523,0.0015914107294209175
1,1,41,0.27044794820296647,0.019510269165039062,"{'regressor__fourier_random_features__gamma': 0.0013810679320049757, 'regressor__ridge_regression__alpha': 0.0001}",0.5675867729995114,0.5675867729995114,0.03508240475283366,0.010079908370971679,0.0008480136344921399
2,1,41,0.5971901318132359,0.019406557083129883,"{'regressor__fourier_random_features__gamma': 0.0013810679320049757, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5462456141585997,0.5462456141585997,0.016773751122588536,0.010254240036010743,0.0007325706324658946
3,1,41,0.5408062483377536,0.01898360252380371,"{'regressor__fourier_random_features__gamma': 0.0001220703125, 'regressor__ridge_regression__alpha': 0.0001}",0.560788225960432,0.560788225960432,0.020884005381156145,0.012239646911621094,0.0011966412311592912
4,2,83,0.5517318742962425,0.02042531967163086,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5728920999631859,0.5728920999631859,0.034272324987451155,0.020199012756347657,0.006482880421481422
5,2,83,0.5467029921678266,0.027889013290405273,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5698757043174586,0.5698757043174586,0.028741374951580047,0.02094864845275879,0.00023868522038915293
6,2,83,0.609146217751952,0.021762847900390625,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5503135471850669,0.5503135471850669,0.009907807128550751,0.02053694725036621,0.0004708079976057532
7,2,83,0.5601261823261843,0.027733325958251953,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0001}",0.5690299148796916,0.5690299148796916,0.03287142681767405,0.020603370666503907,0.0029094396293049317
8,4,167,0.5562246986858634,0.06229710578918457,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5762127090212324,0.5762127090212324,0.03520989549288935,0.0407865047454834,0.0005883163832822679
9,4,167,0.560818367798043,0.049553871154785156,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5793382958052377,0.5793382958052377,0.026302882792351157,0.03865385055541992,0.0005625359332094501
10,4,167,0.6203744157006401,0.06641149520874023,"{'regressor__fourier_random_features__gamma': 0.0013810679320049757, 'regressor__ridge_regression__alpha': 0.0001}",0.5526946834663535,0.5526946834663535,0.007312329020075115,0.03441300392150879,0.004085015865162001
11,4,167,0.5610981593742486,0.04436922073364258,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5695887703349658,0.5695887703349658,0.026325904523214587,0.03141055107116699,0.0042421726879429186
12,5,208,0.5583070195924031,0.05300331115722656,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.577195698173146,0.577195698173146,0.03452333644698224,0.04461450576782226,0.0029297193681329737
13,5,208,-0.29774874299588316,0.04195284843444824,"{'regressor__fourier_random_features__gamma': 0.0013810679320049757, 'regressor__ridge_regression__alpha': 0.0001}",0.5708669117514509,0.5708669117514509,0.03717627626347629,0.046017694473266604,0.0005850315735269932
14,5,208,0.6142802467655086,0.0529482364654541,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5493529530045562,0.5493529530045562,0.0118707255272153,0.03937497138977051,0.005798466997493491
15,5,208,0.5734722245521715,0.05270528793334961,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5710559239389186,0.5710559239389186,0.02443486265717341,0.049045753479003903,0.003175856586529614
16,7,292,0.5554209037772695,0.10476493835449219,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.581214406599561,0.581214406599561,0.03835759613513778,0.06961002349853515,0.0005398110988817892
17,7,292,0.5730947204734573,0.11770439147949219,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5741576011708821,0.5741576011708821,0.033187868812303865,0.059823226928710935,0.00867627598970764
18,7,292,0.6150307851080112,0.07325220108032227,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5550990939710104,0.5550990939710104,0.018229821224803152,0.0662602424621582,0.007273089911649627
19,7,292,0.5668976371335139,0.07183599472045898,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5723864667723616,0.5723864667723616,0.026946753783950037,0.07176222801208496,0.0031206321514628196
20,9,375,0.5543534283484888,0.1288435459136963,"{'regressor__fourier_random_features__gamma': 0.1767766952966369, 'regressor__ridge_regression__alpha': 0.1}",0.5809143227686052,0.5809143227686052,0.038048679087494035,0.09081869125366211,0.010594376877277845
21,9,375,0.5528649255676168,0.08145809173583984,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5748438818356172,0.5748438818356172,0.028552455916465092,0.08461074829101563,0.013108449764280786
22,9,375,0.6190468552330789,0.10188865661621094,"{'regressor__fourier_random_features__gamma': 0.0013810679320049757, 'regressor__ridge_regression__alpha': 0.0001}",0.5541425104418523,0.5541425104418523,0.008134462444205017,0.0827707290649414,0.01357782531771838
23,9,375,0.5584974360518247,0.09723138809204102,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5718190400373828,0.5718190400373828,0.02663619572837327,0.08295617103576661,0.011423321029879974
24,10,417,0.5606278213570589,0.09845495223999023,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.0031622776601683794}",0.5810437019362392,0.5810437019362392,0.03463140859997537,0.10091829299926758,0.012818320711376051
25,10,417,0.5466790905069172,0.0970609188079834,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5738952683776389,0.5738952683776389,0.028467170922623238,0.10748639106750488,0.001157537091922549
26,10,417,0.6132645008018349,0.10957860946655273,"{'regressor__fourier_random_features__gamma': 0.015625, 'regressor__ridge_regression__alpha': 0.1}",0.5529178381110944,0.5529178381110944,0.011383400133010532,0.0992502212524414,0.009434450823303023
