n-components,fit-time-random-feature,score-in-test,transform-time-random-feature
321,0.0018711090087890625,0.5473427494774353,0.0769951343536377
378,0.0006921291351318359,0.54286642211077,0.03815197944641113
436,0.0007741451263427734,0.5428608558084927,0.03396296501159668
493,0.0008068084716796875,0.5458091976119278,0.07921504974365234
551,0.0009531974792480469,0.5454777659181769,0.03112173080444336
609,0.0008981227874755859,0.5452414862225988,0.08268308639526367
666,0.000965118408203125,0.5428822394499652,0.039868831634521484
724,0.0011289119720458984,0.5428898325225856,0.1499180793762207
781,0.0011548995971679688,0.5447545911666025,0.045420169830322266
839,0.0011072158813476562,0.544616809355262,0.0570070743560791
896,0.0011661052703857422,0.5428985992807512,0.07597494125366211
954,0.0014557838439941406,0.5429257868819648,0.08530926704406738
1011,0.0013079643249511719,0.5443081837490948,0.09408998489379883
1069,0.001322031021118164,0.5442426259461921,0.12386012077331543
1127,0.0015261173248291016,0.5442039583997167,0.06482601165771484
1184,0.0014090538024902344,0.5428822948293469,0.130357027053833
1242,0.0015411376953125,0.5428719236133583,0.06116795539855957
1299,0.0018239021301269531,0.5439802876292739,0.08897995948791504
1357,0.0016160011291503906,0.5439394925098814,0.09574508666992188
1414,0.00168609619140625,0.5429079388656958,0.12060999870300293
1472,0.001867055892944336,0.5429065118324075,0.10962915420532227
1529,0.001786947250366211,0.5438342337726446,0.10933613777160645
1587,0.0020351409912109375,0.5438253188624851,0.1355578899383545
1645,0.001953125,0.5437928121902103,0.11594176292419434
1702,0.0019981861114501953,0.5429180010991734,0.11512398719787598
1760,0.0020477771759033203,0.5428772178903186,0.20042204856872559
1817,0.0021560192108154297,0.5436983247418375,0.13328099250793457
1875,0.0024340152740478516,0.5436521582031668,0.09439492225646973
1932,0.002324342727661133,0.5429075396089803,0.21850228309631348
1990,0.002290010452270508,0.5428913447142301,0.12240386009216309
2048,0.00232696533203125,0.5428894332383772,0.08922600746154785
2105,0.002479076385498047,0.5435724278488571,0.09604501724243164
2163,0.0023889541625976562,0.5435620290317952,0.09555625915527344
2220,0.0024302005767822266,0.5429002077874577,0.09567713737487793
2278,0.0025908946990966797,0.542913849839466,0.10092616081237793
2335,0.0026540756225585938,0.5434813062514068,0.10015988349914551
2393,0.0028748512268066406,0.5434783105872127,0.10590314865112305
2450,0.002686023712158203,0.5428793344426099,0.1063539981842041
2508,0.0028264522552490234,0.5428940375327509,0.10899186134338379
2566,0.00284576416015625,0.5429119100377355,0.11137580871582031
321,0.0006096363067626953,0.5473363772689945,0.01576995849609375
378,0.0006341934204101562,0.5429007204520977,0.016199827194213867
436,0.0007050037384033203,0.5428722377010419,0.021045923233032227
493,0.0007619857788085938,0.5458490430231862,0.023698806762695312
551,0.0008127689361572266,0.5455348448090388,0.02568221092224121
609,0.0008499622344970703,0.545245682698484,0.029291629791259766
666,0.0009248256683349609,0.5428612698521182,0.031774044036865234
724,0.0009989738464355469,0.5429429978209458,0.034380197525024414
781,0.001013040542602539,0.5447109610939949,0.0369420051574707
839,0.0011219978332519531,0.5445796708300438,0.04062175750732422
896,0.0011646747589111328,0.5428645830182877,0.04327583312988281
954,0.0011970996856689453,0.5429189819801327,0.044877052307128906
1011,0.0012640953063964844,0.544337543413256,0.047722816467285156
1069,0.0013298988342285156,0.5442456523449232,0.049118995666503906
1127,0.0013942718505859375,0.5441721535993364,0.05283808708190918
1184,0.0014028549194335938,0.5428990333433678,0.05542397499084473
1242,0.0014781951904296875,0.5429306471206601,0.0558321475982666
1299,0.001558065414428711,0.5440251735137752,0.05873894691467285
1357,0.0015878677368164062,0.5439618974692942,0.06412196159362793
1414,0.001622915267944336,0.5428933363624441,0.06510782241821289
1472,0.0017800331115722656,0.5429302587706653,0.06772994995117188
1529,0.0017528533935546875,0.5438433351633164,0.06818699836730957
1587,0.0018649101257324219,0.5437861616315942,0.0710289478302002
1645,0.0019137859344482422,0.5437462601145896,0.07706809043884277
1702,0.0019681453704833984,0.5428783545747633,0.07492399215698242
1760,0.002031087875366211,0.5429004969412492,0.07779574394226074
1817,0.0021157264709472656,0.5437148451904799,0.07996916770935059
1875,0.002137899398803711,0.5436650560716395,0.0845649242401123
1932,0.0021507740020751953,0.5428649895840689,0.08396005630493164
1990,0.002197265625,0.5429095058544309,0.08845901489257812
2048,0.002337932586669922,0.5429251665772603,0.08945989608764648
2105,0.0024421215057373047,0.5435994611817774,0.0953369140625
2163,0.002813100814819336,0.5435971054403406,0.09659218788146973
2220,0.0025179386138916016,0.5428885708076825,0.09863662719726562
2278,0.0025849342346191406,0.5428951487100705,0.10041594505310059
2335,0.0026302337646484375,0.5435113285975878,0.10076689720153809
2393,0.002610921859741211,0.5435254569851107,0.10576605796813965
2450,0.0026450157165527344,0.5428983682455064,0.10455203056335449
2508,0.0027968883514404297,0.5428912227572713,0.10861802101135254
2566,0.002749919891357422,0.542889126291858,0.11153602600097656
321,0.0005848407745361328,0.5474617153362042,0.018170833587646484
378,0.0006451606750488281,0.5429401580242608,0.016749143600463867
436,0.0006978511810302734,0.5428484657606668,0.01919102668762207
493,0.0007579326629638672,0.5458062524281831,0.02363300323486328
551,0.0008161067962646484,0.5454874491215379,0.026101112365722656
609,0.0008449554443359375,0.5452785377044521,0.030447959899902344
666,0.0009357929229736328,0.5429292485627857,0.03206992149353027
724,0.0009930133819580078,0.5429033065850989,0.03414106369018555
781,0.0010139942169189453,0.5447407971003543,0.037059783935546875
839,0.0011060237884521484,0.5445728021213045,0.04088020324707031
896,0.0011608600616455078,0.542902197848693,0.04158782958984375
954,0.0012149810791015625,0.5428931871320704,0.04498887062072754
1011,0.0012328624725341797,0.5443204432719654,0.04778909683227539
1069,0.0012900829315185547,0.5442267041551637,0.04918503761291504
1127,0.0013470649719238281,0.5441670241846029,0.05203104019165039
1184,0.0014200210571289062,0.5428908042430578,0.05480480194091797
1242,0.0014977455139160156,0.5428934531259969,0.056143999099731445
1299,0.0015289783477783203,0.544017173797505,0.06235074996948242
1357,0.0016219615936279297,0.5439250887962164,0.060897111892700195
1414,0.0016710758209228516,0.5429016706711627,0.06384801864624023
1472,0.0017778873443603516,0.5429129348716264,0.0666050910949707
1529,0.0017998218536376953,0.5438164131045491,0.06833910942077637
1587,0.0018148422241210938,0.5437955548225094,0.07277512550354004
1645,0.001955747604370117,0.5438071687663957,0.07318902015686035
1702,0.0019068717956542969,0.542891848228943,0.0771951675415039
1760,0.0019807815551757812,0.5428846707499897,0.07927966117858887
1817,0.002092123031616211,0.5436799396098422,0.08149409294128418
1875,0.0021522045135498047,0.5436818918159668,0.08081364631652832
1932,0.002233266830444336,0.5429046894881419,0.08407902717590332
1990,0.0023040771484375,0.5429083816697381,0.0855410099029541
2048,0.002349853515625,0.5428842505612761,0.09046196937561035
2105,0.0023288726806640625,0.5435677357622043,0.09124422073364258
2163,0.0023932456970214844,0.543561098340363,0.09519100189208984
2220,0.0025169849395751953,0.5428918567175183,0.09761309623718262
2278,0.002576112747192383,0.5428959179132947,0.1038978099822998
2335,0.002680063247680664,0.5435094775158331,0.10411596298217773
2393,0.0029191970825195312,0.5435172027823231,0.1049199104309082
2450,0.0030820369720458984,0.5428708230976427,0.10533595085144043
2508,0.0031578540802001953,0.5428732678449226,0.1070866584777832
2566,0.0028710365295410156,0.5428877528337313,0.11276793479919434
321,0.0005927085876464844,0.547357927028165,0.016433000564575195
378,0.0006399154663085938,0.5428816716992154,0.015330076217651367
436,0.0006971359252929688,0.5429092134744151,0.02717113494873047
493,0.0007300376892089844,0.545822932625995,0.02626204490661621
551,0.0008199214935302734,0.5454933312931757,0.030391931533813477
609,0.000843048095703125,0.5452744321868097,0.029316186904907227
666,0.0009238719940185547,0.5428722909140515,0.03333401679992676
724,0.0009937286376953125,0.5428447831333931,0.03417325019836426
781,0.001051187515258789,0.5447596869351471,0.035489797592163086
839,0.0011000633239746094,0.5445890798972048,0.03880119323730469
896,0.0011241436004638672,0.5428861445865768,0.04368901252746582
954,0.001219034194946289,0.5429232732587966,0.04419207572937012
1011,0.0012319087982177734,0.5442849377236764,0.04811906814575195
1069,0.0013148784637451172,0.5442134244747283,0.04893612861633301
1127,0.0014081001281738281,0.5441589506675792,0.04989480972290039
1184,0.0014491081237792969,0.5428850050502381,0.05441474914550781
1242,0.0014789104461669922,0.5429164681958357,0.0566248893737793
1299,0.0015559196472167969,0.5440163619078773,0.06111001968383789
1357,0.0015940666198730469,0.5439321423994506,0.0630960464477539
1414,0.0016682147979736328,0.5428722467794116,0.06761622428894043
1472,0.0017347335815429688,0.542898460895028,0.06627082824707031
1529,0.0017499923706054688,0.5438529949388877,0.07016801834106445
1587,0.001878976821899414,0.5437966981960335,0.07230424880981445
1645,0.0019178390502929688,0.5437882352329365,0.07450008392333984
1702,0.0020220279693603516,0.542898113902858,0.07513880729675293
1760,0.002029895782470703,0.5429154317472602,0.07853221893310547
1817,0.0020742416381835938,0.5436943769473034,0.08029890060424805
1875,0.002340078353881836,0.5436387151125053,0.08378100395202637
1932,0.0021991729736328125,0.5429203426889457,0.08431315422058105
1990,0.0022690296173095703,0.5429003471634495,0.08553695678710938
2048,0.0023260116577148438,0.5428980100268347,0.08709120750427246
2105,0.0024068355560302734,0.5435727719339706,0.0943000316619873
2163,0.0024259090423583984,0.5435721919270702,0.09315109252929688
2220,0.002928018569946289,0.5428720987388804,0.10373115539550781
2278,0.0025107860565185547,0.5429085541768138,0.1046910285949707
2335,0.0028753280639648438,0.5434930028943734,0.10284996032714844
2393,0.0026738643646240234,0.5434963009631065,0.10402297973632812
2450,0.00273895263671875,0.5428935146496288,0.10779786109924316
2508,0.0028009414672851562,0.5428762602681108,0.11028718948364258
2566,0.0028617382049560547,0.5428999147276533,0.11379504203796387
321,0.0005550384521484375,0.5473841911076585,0.017258167266845703
378,0.0006079673767089844,0.5429156529208374,0.02083420753479004
436,0.0006678104400634766,0.5429484815048903,0.019009113311767578
493,0.0007359981536865234,0.5457648766198809,0.024508237838745117
