n-components,fit-time-mean,fit-time-std,transform-time-mean,transform-time-std,training-time-mean,training-time-std,prediction-time-mean,prediction-time-std,score-mean,score-std
321,0.0008879661560058594,4.179559974491512e-05,0.0008879661560058594,0.007429884908156649,0.017151403427124023,0.002395777213513402,0.0025002479553222655,0.00010042622435575877,0.8441350824186331,0.00016801837791319897
378,0.0009687900543212891,6.121835186848042e-06,0.0009687900543212891,0.00237872851815889,0.04387712478637695,0.015212135622916994,0.003103494644165039,0.00020890740105735837,0.8440738899300111,0.0002874765054953119
436,0.0010874748229980468,1.1349826246351202e-05,0.0010874748229980468,0.0039503165040101935,0.0403963565826416,0.00537532108096047,0.0034898757934570313,0.00014499256869219103,0.8440968371132443,0.00020524584640681492
493,0.001365804672241211,0.00037140405929987874,0.001365804672241211,0.008033613346070032,0.05542459487915039,0.012716006594004894,0.003910446166992187,0.00027069679462390315,0.8440509427467779,0.00019613540987427602
551,0.0013245105743408202,2.7429847704048827e-05,0.0013245105743408202,0.002172546334620154,0.05831308364868164,0.009448975826003065,0.004235267639160156,0.00020748711595352644,0.8441197842964776,0.00012510366186402759
609,0.0014346122741699218,2.5714634716093504e-05,0.0014346122741699218,0.00190344304375911,0.07197885513305664,0.032034047785432423,0.004651021957397461,0.00019106823873797093,0.8441427314797109,0.00019007570489599766
666,0.0015504837036132812,3.0395984556153405e-05,0.0015504837036132812,0.0009863035062639687,0.07419652938842773,0.012380019589645908,0.0051002025604248045,0.00022322278631355916,0.8442498183347993,0.00019799103691504083
724,0.0016544342041015625,8.300939244631994e-06,0.0016544342041015625,0.0013548974874652187,0.08399291038513183,0.016214354980960265,0.005389595031738281,9.399221216273271e-05,0.844173327724022,0.00016801837791329213
781,0.0017620086669921874,1.5689138175596424e-05,0.0017620086669921874,0.0016631399822787513,0.08707923889160156,0.012029798597272472,0.005828094482421875,0.00011242231126498796,0.8442804145791104,0.0002457837459449821
839,0.0027148246765136717,0.0016601964891531237,0.0027148246765136717,0.0015501222237196573,0.09139184951782227,0.0060133433431588555,0.006167459487915039,0.0001896062930444913,0.8442498183347993,0.00019426205835010044
896,0.0020293712615966795,3.0453435724033702e-05,0.0020293712615966795,0.0005728345373682425,0.10641984939575196,0.020383635479541445,0.006501150131225586,0.00018005152626247796,0.8440968371132443,0.0001341314714250166
954,0.0021018028259277345,1.7608789884655186e-05,0.0021018028259277345,0.0038225760025822893,0.1150467872619629,0.017535872219685333,0.007084846496582031,0.0001746477526342564,0.844173327724022,9.973155475125757e-05
1011,0.002247142791748047,3.466076462799862e-05,0.002247142791748047,0.004161908267923488,0.13294200897216796,0.030490558984975633,0.007781171798706054,0.00040830114799473053,0.844356905189888,0.0002256148881898789
1069,0.002357625961303711,1.6736576694840855e-05,0.002357625961303711,0.0028606646303464644,0.12251582145690917,0.007076677675120133,0.008081293106079102,0.0002862875358599541,0.844173327724022,0.000122743003295835
1127,0.0025206565856933593,0.00012164636004165662,0.0025206565856933593,0.0022126211692972105,0.13244976997375488,0.017308900663082615,0.008258438110351563,0.0004203220015725117,0.8443033617623437,8.113054436682091e-05
1184,0.002609920501708984,2.9804897197122702e-05,0.002609920501708984,0.0027202009347847517,0.1352072238922119,0.01613019440726895,0.009496784210205078,0.0015956014325040752,0.8441121352354,0.0001731629850104674
1242,0.002763986587524414,6.393397693606931e-05,0.002763986587524414,0.003915092629395977,0.14669790267944335,0.01653868404592722,0.008960151672363281,0.0003796920707548837,0.844295712701266,0.00024248850704320488
1299,0.002835798263549805,6.474028123947708e-05,0.002835798263549805,0.0019057318123000219,0.16167163848876953,0.01742756255872832,0.009264993667602538,0.00039718615432860784,0.8441656786629441,8.379126592039681e-05
1357,0.002937793731689453,1.217453139465979e-05,0.002937793731689453,0.0030356528743329535,0.15720601081848146,0.011544793904684858,0.009827518463134765,0.0006027024707638851,0.8442115730294105,0.0001826188302492285
1414,0.0030385971069335936,3.9554281787174745e-05,0.0030385971069335936,0.0015444549393256928,0.169585657119751,0.013187344672555348,0.010109949111938476,0.00021400331334933494,0.844295712701266,5.672695519250399e-05
1472,0.0031792163848876954,1.72558071679818e-05,0.0031792163848876954,0.0023680641011543076,0.1770862579345703,0.015732049676986628,0.010396385192871093,0.00026836627623345817,0.844173327724022,0.00017231621717318915
