n-components,fit-time-random-feature,score-in-test,transform-time-random-feature
246,0.0011477470397949219,0.465185718137301,0.022157907485961914
290,0.0011639595031738281,0.46519161658319647,0.03803706169128418
334,0.0012249946594238281,0.46520239929374946,0.037271976470947266
378,0.0013461112976074219,0.4652201708112897,0.07156515121459961
422,0.0014767646789550781,0.46516292986309415,0.06534910202026367
466,0.001580953598022461,0.46514872348863456,0.07272195816040039
510,0.0016357898712158203,0.4652434552100488,0.06141018867492676
554,0.0017762184143066406,0.4651629995424037,0.034914255142211914
598,0.0019431114196777344,0.4651769760494855,0.04456591606140137
642,0.0023429393768310547,0.4651305156052912,0.03414583206176758
686,0.002051115036010742,0.4651448062029788,0.03854680061340332
731,0.00215911865234375,0.4668870477498637,0.0451807975769043
775,0.002373933792114258,0.4667445182509346,0.05125308036804199
819,0.0024230480194091797,0.46666754014424316,0.07494187355041504
863,0.0025839805603027344,0.4666726585350203,0.04683685302734375
907,0.0026471614837646484,0.4665260316847277,0.04793429374694824
951,0.0028018951416015625,0.4665071570435721,0.06388688087463379
995,0.002991914749145508,0.4664259758591986,0.07023310661315918
1039,0.0030710697174072266,0.46634696453567936,0.05943918228149414
1083,0.0030698776245117188,0.46632907811893365,0.05976605415344238
1127,0.0031151771545410156,0.4663255403960882,0.056836843490600586
1171,0.003339052200317383,0.46622587357517065,0.0610041618347168
1215,0.0034270286560058594,0.46616606573786445,0.06757402420043945
1259,0.003522157669067383,0.466195209793134,0.0607142448425293
1304,0.003679037094116211,0.46514484420922714,0.08490800857543945
1348,0.008033037185668945,0.46522329184207295,0.07225584983825684
1392,0.003854036331176758,0.46517847968658876,0.07850885391235352
1436,0.004119873046875,0.4651445622800261,0.09798216819763184
1480,0.004085063934326172,0.46517551052216194,0.08499670028686523
1524,0.004231929779052734,0.4651612994199539,0.14511418342590332
1568,0.00817418098449707,0.46515892504698314,0.08876705169677734
1612,0.0043792724609375,0.465189660967696,0.07928228378295898
1656,0.004475116729736328,0.4651898459910689,0.08511590957641602
1700,0.004642963409423828,0.46511503006694255,0.09033417701721191
1744,0.0047149658203125,0.4651312854431753,0.08155417442321777
1788,0.00487828254699707,0.46518224309868567,0.09534430503845215
1833,0.004981040954589844,0.4658608224000093,0.11338281631469727
