n-components,fit-time-random-feature,score-in-test,transform-time-random-feature
246,0.00189208984375,0.5543900841577275,0.06682538986206055
290,0.0019080638885498047,0.47181627951845184,0.03948712348937988
334,0.0020596981048583984,0.5237397262178517,0.06854510307312012
378,0.0022611618041992188,0.5406206737565972,0.06779694557189941
422,0.002498149871826172,0.4314490874543507,0.03546285629272461
466,0.0027091503143310547,0.4294202857288344,0.04163217544555664
510,0.0030698776245117188,0.4256272845235358,0.06847476959228516
554,0.003262042999267578,0.38897630850500375,0.053536176681518555
598,0.003316164016723633,0.4865075118627557,0.04875493049621582
642,0.0035858154296875,0.46197310158961596,0.04312300682067871
686,0.003854990005493164,0.45233285212603846,0.08600664138793945
731,0.003960132598876953,0.4209616517392497,0.05985879898071289
775,0.004235029220581055,0.4687342791264362,0.053938865661621094
819,0.004561185836791992,0.5151742496872525,0.0655982494354248
863,0.004621982574462891,0.46350061056105796,0.058957815170288086
907,0.004857063293457031,0.4826226951851215,0.07066702842712402
951,0.005140066146850586,0.5002615845337329,0.08511114120483398
995,0.005330801010131836,0.44292608021969987,0.10466504096984863
1039,0.005658864974975586,0.4476178476390116,0.08743405342102051
1083,0.006103992462158203,0.4689598337424246,0.07961773872375488
1127,0.005991935729980469,0.46191969296254376,0.17298102378845215
1171,0.006217002868652344,0.4829929719617245,0.08543705940246582
1215,0.006615877151489258,0.4496238661381825,0.07542610168457031
1259,0.006788015365600586,0.4499411396820223,0.07393407821655273
1304,0.006926059722900391,0.476224113059789,0.09518003463745117
1348,0.007325887680053711,0.48393235378435917,0.12775969505310059
1392,0.007318019866943359,0.4468494629515678,0.09125614166259766
1436,0.0076351165771484375,0.4693835641671625,0.1074068546295166
1480,0.007753133773803711,0.47815170069995955,0.10020709037780762
1524,0.008143901824951172,0.4505033517733401,0.1067960262298584
1568,0.012408018112182617,0.5090406610353171,0.188917875289917
1612,0.00839090347290039,0.4604409391490157,0.09459686279296875
1656,0.008726119995117188,0.47097870376021284,0.09510302543640137
1700,0.008776187896728516,0.4509813347093178,0.12006306648254395
1744,0.009170055389404297,0.44777104301357734,0.12439608573913574
1788,0.009406089782714844,0.5002383640254573,0.11204791069030762
1833,0.01006007194519043,0.4742187581794064,0.10588383674621582
1877,0.009678840637207031,0.4741856157814074,0.17170095443725586
