n-components,fit-time-random-feature,score-in-test,transform-time-random-feature
27,0.00017499923706054688,0.5676569507765464,0.00011897087097167969
32,0.00018906593322753906,1.0447357134089739,0.00017213821411132812
36,0.0001380443572998047,0.7510986080086254,0.00014591217041015625
41,0.00017499923706054688,0.6699272294670375,0.0001819133758544922
46,0.00015783309936523438,0.5859633474836442,0.00018787384033203125
51,0.00015282630920410156,0.42696516860174755,0.00019979476928710938
56,0.00017881393432617188,0.4620176347896979,0.0002491474151611328
61,0.00014328956604003906,0.5394234465232842,0.00023984909057617188
65,0.0001418590545654297,0.4974287832286267,0.00051116943359375
70,0.00015997886657714844,0.6309452536335837,0.0003342628479003906
75,0.00019097328186035156,0.6917989675704187,0.0003781318664550781
80,0.00014829635620117188,0.7838452013903253,0.0003638267517089844
85,0.00014495849609375,0.7410004368699262,0.0003638267517089844
90,0.000141143798828125,0.5468283107423642,0.0005629062652587891
94,0.00015211105346679688,0.5672539811720406,0.00040984153747558594
99,0.00014734268188476562,0.5797276093850643,0.0004169940948486328
104,0.00023126602172851562,0.508980347751411,0.00049591064453125
109,0.00016021728515625,0.5297559261125874,0.0004589557647705078
114,0.00015807151794433594,0.5884866546706141,0.0015969276428222656
118,0.00015616416931152344,0.6979965026308114,0.0005080699920654297
123,0.00015425682067871094,0.7569341059759308,0.0006337165832519531
128,0.00014519691467285156,0.6988403020425216,0.0019190311431884766
133,0.00021886825561523438,0.5255766777070211,0.0010790824890136719
138,0.0001590251922607422,0.5077743691798553,0.0005857944488525391
143,0.0002067089080810547,0.43595563496471934,0.0006411075592041016
147,0.00025200843811035156,0.5415884800501263,0.0011429786682128906
152,0.0001590251922607422,0.7032441975150547,0.0006530284881591797
157,0.00020194053649902344,0.6770444459844751,0.0007297992706298828
162,0.0001647472381591797,0.7260207690683732,0.0006749629974365234
167,0.00018715858459472656,0.5524737749974807,0.002950906753540039
171,0.00017714500427246094,0.5556087333777158,0.0007228851318359375
176,0.0002989768981933594,0.5267716645006839,0.0018508434295654297
181,0.00021696090698242188,0.5703687384413733,0.0007021427154541016
186,0.0003609657287597656,0.6880275790264475,0.0013508796691894531
191,0.00020313262939453125,0.6763228414837241,0.0029418468475341797
196,0.00018310546875,0.7772340080485006,0.0008540153503417969
200,0.00021791458129882812,0.7636160021104239,0.0021140575408935547
205,0.0001728534698486328,0.6443369697843165,0.0008909702301025391
210,0.00021505355834960938,0.5478292708810654,0.0009047985076904297
215,0.000225067138671875,0.49536679148866114,0.001074075698852539
27,0.00015616416931152344,0.9138014375074966,0.0001308917999267578
32,0.0002391338348388672,0.8691454025903373,0.00016689300537109375
36,0.00014591217041015625,0.5467007817716857,0.00015091896057128906
41,0.000141143798828125,0.4602755568974224,0.00017213821411132812
46,0.0002751350402832031,0.4765067698981709,0.00023698806762695312
51,0.00021195411682128906,0.6650546290482355,0.0002422332763671875
56,0.0002219676971435547,0.6856474119096176,0.0002589225769042969
61,0.0002300739288330078,0.7048161543878579,0.0002689361572265625
65,0.00024819374084472656,0.8911469728099459,0.0004029273986816406
70,0.00014901161193847656,0.632297337258522,0.0007128715515136719
75,0.00014591217041015625,0.5761543915085174,0.00033402442932128906
80,0.0001480579376220703,0.4002827570437846,0.0003731250762939453
85,0.0001590251922607422,0.3933220010473735,0.0003910064697265625
90,0.0001480579376220703,0.5676541246654249,0.00042510032653808594
94,0.00015020370483398438,0.6609337554057209,0.0004189014434814453
99,0.00014901161193847656,0.6306452057908957,0.00043320655822753906
104,0.0001571178436279297,0.5400627076866319,0.0007929801940917969
109,0.00014781951904296875,0.5074162615790458,0.00045800209045410156
114,0.00014901161193847656,0.6964432357893076,0.0004930496215820312
118,0.00014591217041015625,0.7347209466131204,0.00048422813415527344
123,0.0001499652862548828,0.6515747366431567,0.0007660388946533203
128,0.00015115737915039062,0.5136048447059133,0.000560760498046875
133,0.00014901161193847656,0.6122441036045684,0.0011708736419677734
138,0.00015211105346679688,0.5969092711565777,0.000576019287109375
143,0.0001518726348876953,0.6704912786760789,0.0006010532379150391
147,0.00015687942504882812,0.7520004433992075,0.0006279945373535156
152,0.00022411346435546875,0.7740674565704254,0.0006768703460693359
157,0.00015163421630859375,0.724336670607904,0.0006120204925537109
162,0.00015735626220703125,0.687981091305884,0.0006537437438964844
167,0.0002727508544921875,0.6651601864847058,0.0007278919219970703
171,0.0001621246337890625,0.6544833651928588,0.0007250308990478516
176,0.00016617774963378906,0.6040307503960558,0.0007150173187255859
181,0.000164031982421875,0.5196342033962958,0.0007829666137695312
186,0.00015687942504882812,0.5046847470104467,0.0007889270782470703
191,0.0001659393310546875,0.507320482922833,0.0008063316345214844
196,0.0002071857452392578,0.5255393908572811,0.0008728504180908203
200,0.00015473365783691406,0.6214050289096815,0.000823974609375
205,0.00028586387634277344,0.5876459797929199,0.001712799072265625
210,0.00017905235290527344,0.6425434562653574,0.0008819103240966797
215,0.0001919269561767578,0.6729743368314801,0.0008289813995361328
27,0.00013685226440429688,0.7129142251758971,0.0001361370086669922
32,0.00028014183044433594,0.44362602344695595,0.0001888275146484375
36,0.00014591217041015625,0.42270280813592065,0.0001590251922607422
41,0.0001442432403564453,0.48647444961085307,0.00016880035400390625
46,0.0001461505889892578,0.5339495013894325,0.00017714500427246094
