n-components,fit-time-random-feature,score-in-test,transform-time-random-feature
321,0.0009839534759521484,0.5436461644076799,0.017612934112548828
378,0.001077890396118164,0.6885931410118346,0.042366981506347656
436,0.0012271404266357422,0.6297966858997003,0.0325472354888916
493,0.0012407302856445312,0.4915224540142696,0.04830527305603027
551,0.0014219284057617188,0.5426829243842369,0.042079925537109375
609,0.0016109943389892578,0.5170100586107148,0.041625022888183594
666,0.0016620159149169922,0.5019097081865631,0.1398601531982422
724,0.0018210411071777344,0.6042736377615535,0.0716390609741211
781,0.0018641948699951172,0.5465603744412509,0.039682626724243164
839,0.0021209716796875,0.5622942922865036,0.054234981536865234
896,0.002164125442504883,0.5716293303954921,0.11033916473388672
954,0.0021669864654541016,0.5338152602147562,0.14461493492126465
1011,0.002273082733154297,0.526261610078359,0.16366291046142578
1069,0.002628803253173828,0.5055617760288497,0.08939003944396973
1127,0.002774953842163086,0.5810051590594881,0.07730293273925781
1184,0.0027289390563964844,0.5200803825083856,0.14574885368347168
1242,0.002803802490234375,0.5533654778380929,0.09001803398132324
1299,0.0030670166015625,0.4992328404087695,0.10818815231323242
1357,0.0029916763305664062,0.5774404500320142,0.1162710189819336
1414,0.003099203109741211,0.5163642102336754,0.11446332931518555
1472,0.0032079219818115234,0.5425179023436827,0.11200404167175293
1529,0.0037140846252441406,0.5426436821759795,0.22522783279418945
1587,0.0036280155181884766,0.5535403790259331,0.12458395957946777
1645,0.0038080215454101562,0.48793403561433185,0.14509105682373047
1702,0.0037758350372314453,0.5271462633774314,0.19742584228515625
1760,0.00395512580871582,0.5348956531703746,0.1500849723815918
1817,0.0038938522338867188,0.5788466199519761,0.1703801155090332
1875,0.004113197326660156,0.5964118387607054,0.20815801620483398
1932,0.004357099533081055,0.5644592545063122,0.19502687454223633
1990,0.0043849945068359375,0.5119873541962857,0.13411211967468262
2048,0.0044002532958984375,0.5481133934447082,0.13640284538269043
2105,0.004592180252075195,0.5203541073967584,0.1124260425567627
2163,0.0047109127044677734,0.5127274369730417,0.11683821678161621
2220,0.004810810089111328,0.5545861098813104,0.11959695816040039
2278,0.004923105239868164,0.5348195140546131,0.12470698356628418
2335,0.005057096481323242,0.5429383421208095,0.12401700019836426
